container_id,day1_mae,day1_rmse,peak_mae,peak_rmse,non_peak_mae,non_peak_rmse,residual_mae_scaled,residual_rmse_scaled,residual_pearson_r,residual_r2,residual_std_actual,residual_std_predicted,residual_std_ratio,variant_id
c_1494,0.2877744634233712,0.4029314282995562,0.8546629142757853,0.9217650319521551,0.1909886303510078,0.21215640254904652,0.05755489268467423,0.08058628565991124,-0.04188302051101381,-0.020003757925720622,0.07979216575713251,0.0010857880482652547,0.013607702434974923,R0
c_14964,2.691997832044597,3.3297076106925005,3.0623707755175813,4.027496394648935,2.5394913259086627,2.9955042400091174,0.15382844754540556,0.1902690063252857,-0.22497476317433934,-0.08079622880649984,0.18301898385887136,0.002606035835793562,0.01423915585611116,R0
c_15030,3.9989209704522968,4.72331807515781,5.006540226939059,5.805136479888866,3.215217104295927,3.6675524895864235,0.1701668498064807,0.20099225851735358,-0.4117499703306095,-1.6197903826604452,0.12417839964857177,0.006878836045273824,0.055394787376396505,R0
c_15035,0.016224718165342187,0.10113188075446244,0.016224718165342187,0.10113188075446244,,,0.06489887266136873,0.4045275230178497,-0.01746747862674266,-0.001996390812065485,0.4041243291018966,0.001249080383174329,0.003090831937661896,R0
c_15072,1.414171952519261,2.6515179468624828,5.88563512987911,9.034173067980099,1.116074407361938,1.4346306316336717,0.10347599652579954,0.1940135083070109,-0.23120333663957587,-0.1019091197388915,0.18482430436027028,0.00450095072575741,0.024352591188353104,R0
c_15179,2.3457215258557356,2.7145533606816787,1.9788873506256859,2.4434092926253594,2.403177481012249,2.7546052532015075,0.09639951476119464,0.11155698742527449,0.33069582994847013,-0.7537177667124821,0.08423972236043988,0.004202353213492782,0.0498856489045869,R0
c_15235,1.180740924366108,1.5052092293011676,1.5520796046217809,1.8180860574704847,1.1173416374931884,1.445036695999101,0.0302754083170797,0.03859510844361969,-0.06433162839337803,-0.04568869667199271,0.037742534331002865,0.0009703879077603667,0.025710724649543753,R0
c_15282,0.33529816271976265,0.4171730377778543,0.9004095335970934,0.9899772337712431,0.2695875381991428,0.28339002085693865,0.16764908135988132,0.20858651888892715,-0.025468879747050602,-0.03400498367257465,0.20512798797916312,0.004280551038326392,0.02086770840243024,R0
c_15420,1.4734492664008894,1.7578034824181015,2.1104422197239363,2.1794339790590347,1.364694371931101,1.675245746012981,0.19645990218678525,0.2343737976557469,0.14345376027401383,-0.012407445936256645,0.23293319937758825,0.004163097361884622,0.01787249465945032,R0
c_15446,0.12321132679102582,0.45951368717283764,0.12321132679102582,0.45951368717283764,,,0.024642265358205167,0.09190273743456755,-0.00020269257133175705,-0.000995918878266444,0.09185700775343594,0.0008760284293135247,0.009536870955615865,R0
c_15486,0.9685298731392636,1.2130798170259849,1.782184701888596,1.9119317158161837,0.6820316940021747,0.8381984498044982,0.19370597462785275,0.24261596340519698,0.02158178938158216,-0.018737003318078482,0.24037446583217092,0.004874765281418415,0.020279879830588862,R0
c_15527,6.037621003838228,7.222715570502394,13.795192549853533,14.010062168520468,5.135577800813192,5.950643038078318,0.1298413119104995,0.15532721656994394,0.052939803485885034,-0.9594306087721858,0.11096413086426256,0.0019319070629750148,0.017410194158491,R0
c_15555,1.4987736011848753,1.7686332775883822,1.664649956386624,1.6773546887910624,1.4630786893060184,1.7876662305383602,0.2997547202369751,0.35372665551767646,0.19195479631183654,0.00873252471266417,0.35528130837355854,0.008635965344502524,0.024307401321046383,R0
c_15570,0.6269514228764087,0.7965648432707305,1.028476806774463,1.1898982732130443,0.5004434252098985,0.6231686708680807,0.025078056915056348,0.03186259373082922,0.10793235904230858,0.009565539062259432,0.0320160872414466,0.002549202885549643,0.0796225618179088,R0
c_15604,0.7256085730573206,1.8750936450428564,1.3279715669061183,2.7253308233084197,0.19411181377896966,0.25435226136428674,0.24186952435244022,0.6250312150142855,0.08514250956597547,-0.11177573173502942,0.5927794129074722,0.008460742875771591,0.014273003905910344,R0
c_15616,0.942196106755068,1.436649161689359,1.3983480238332593,1.9096116100037024,0.48604418967687685,0.693761577564327,0.04486648127405087,0.06841186484235043,-0.09675981475837103,-0.4461580613662235,0.05688837751226962,0.0009612908847807302,0.016897843229461064,R0
c_15630,1.1743134640216952,1.5075356131848543,0.7582155599735996,0.8182388299480728,1.2173580747852912,1.561571839107965,0.10675576945651773,0.13704869210771403,0.1328592297399263,-0.5991289945911171,0.10837600714522716,0.0009167826590749805,0.00845927694906183,R0
c_15640,4.032398338535651,6.546814993887235,29.03152949574792,29.210924338903613,3.5005019309353895,5.061409387327174,0.08229384364358472,0.1336084692630048,0.39616311685550243,0.009103164907653616,0.13422078290727188,0.00224210948890598,0.01670463724276567,R0
c_15642,0.4220982793706911,0.5551781301866687,0.7515996797460887,0.8347669137086741,0.3511929147329474,0.47391683288729913,0.060299754195813036,0.0793111614552384,0.15879655298852222,0.003509942378578934,0.07945071774212026,0.0013888640109132374,0.017480823967143858,R0
c_15647,1.3339361865707744,1.5839897998975159,1.22011821415321,1.3731588537904746,1.340189921318992,1.5947663292422054,0.08084461736792571,0.09599938181197067,0.13038975951842627,-0.5471140842942581,0.07718044291345758,0.0029081751325699358,0.03768020787119442,R0
c_15794,0.020106347503092627,0.0234492886869078,0.020106347503092627,0.0234492886869078,,,0.008617006072753982,0.010049695151531913,-0.4208226928828459,-3.443566660065332,0.00476745978382072,0.0008292281822747717,0.173935013587092,R0
c_15856,0.568142222453479,0.7179210734888153,1.037873270540468,1.1505768892496984,0.364825798654633,0.4068157370249286,0.12625382721188425,0.15953801633084785,0.17746746473696243,-0.017349410926413178,0.1581718225409624,0.0024770491135361655,0.015660495489926304,R0
c_16008,11.45475347105789,13.246976166285483,14.50768040529148,15.36929424188538,3.2353348019674466,3.4599014006484934,0.29371162746302265,0.33966605554578155,0.2230313845638891,-2.869991778434068,0.17266214294239185,0.001747321389182373,0.010119887077767597,R0
