container_id,day1_mae_R0,day1_rmse_R0,peak_mae_R0,peak_rmse_R0,non_peak_mae_R0,non_peak_rmse_R0,residual_mae_scaled_R0,residual_rmse_scaled_R0,residual_pearson_r_R0,residual_r2_R0,residual_std_actual_R0,residual_std_predicted_R0,residual_std_ratio_R0,variant_id_R0,day1_mae_R3,day1_rmse_R3,peak_mae_R3,peak_rmse_R3,non_peak_mae_R3,non_peak_rmse_R3,residual_mae_scaled_R3,residual_rmse_scaled_R3,residual_pearson_r_R3,residual_r2_R3,residual_std_actual_R3,residual_std_predicted_R3,residual_std_ratio_R3,variant_id_R3
c_12158,1.9192632991797869,2.320316091774791,2.422366908283698,3.0260591497620846,1.8333675610400948,2.177077739914846,0.04652759513163118,0.05625008707332825,-0.1440823890907572,-0.11891597784451857,0.05317707695629051,0.002956657438543503,0.05560022490468516,R0,1.9125392225175037,2.304284534048649,2.3905545635338012,2.9822382778013363,1.8309268472220384,2.1674458962836716,0.04636458721254554,0.05586144324966421,0.053141120939775285,-0.10350773451068918,0.05317707695629051,0.0022867422187904485,0.043002405353533474,R3
c_12164,0.7568379205846177,0.985141370391521,1.452471509245023,1.628908885318083,0.5500279347666595,0.6857109788324508,0.05821830158343213,0.07578010541473239,-0.016736852236019294,-0.03288936937848708,0.07456384607497801,0.0034532408005875275,0.046312535932160816,R0,0.754583091566638,0.9817816118479006,1.4259918583029645,1.60968069668087,0.5549750798342167,0.6929212545150176,0.05804485319743371,0.0755216624498385,0.010448122018092497,-0.0258561831882278,0.07456384607497801,0.004541613314514143,0.06090905383216556,R3
c_12174,0.5768896312038359,0.7571177237902238,1.0423024536545524,1.1838323471255094,0.43025271454128133,0.5588179571827628,0.11537792624076719,0.1514235447580448,0.17623657306158996,-0.25872048623472343,0.134967361637456,0.009306990054725349,0.06895733858772032,R0,0.5725295252343247,0.7517428105036901,1.0409260326603886,1.1801523008348875,0.4249525434425512,0.5516822204087887,0.11450590504686498,0.15034856210073805,0.22175315829167375,-0.24091216274053617,0.134967361637456,0.01067799750734159,0.07911540521940708,R3
c_12189,0.4018722762477014,0.5157213298441952,0.5602867106633944,0.6708692906876028,0.3575162346113073,0.46305647368271075,0.029405288505929373,0.03773570706177039,0.01366805866051369,-0.057058125589442454,0.036703126232638626,0.0010808463289268592,0.02944834513757865,R0,0.4054243244130191,0.5181020023738201,0.5589554390917693,0.673991008373338,0.36243561230296906,0.4651839532943336,0.029665194469245305,0.03790990261271855,-0.003722696061666888,-0.06683983307431252,0.036703126232638626,0.0019122813050657028,0.05210131946104327,R3
c_12193,0.3174680013097813,0.421230394754351,0.9121471962502441,0.9497811858561851,0.22432547680103415,0.25285522434089164,0.0952404003929344,0.12636911842630533,0.016991852915634514,-0.04161484875336363,0.12381902349505995,0.0023554083082353485,0.019022992119860506,R0,0.3179340406968921,0.42104710769657827,0.9129536286996327,0.9501363689356828,0.22473820161212554,0.2522925120994655,0.09538021220906763,0.1263141323089735,0.03393339296196581,-0.04070858468656202,0.12381902349505995,0.004875470274380077,0.03937577713633475,R3
c_12231,7.466480111216289,8.210096762834182,5.582441792592182,6.324753678105725,10.606543975589805,10.633797775602767,0.3294035343183657,0.362210151301508,-0.4715466777389318,-0.19220499292139448,0.33173030615852406,0.04057565857730351,0.12231519949797294,R0,7.541967898566981,8.250619667600738,5.714611374106466,6.436221034540097,10.587562106001176,10.605927480547829,0.3327338778779551,0.36399792651179724,-0.4797216382097195,-0.20400286511853571,0.33173030615852406,0.04371561824648891,0.13178059838041603,R3
c_12237,17.46695329882863,22.5060212949649,5.566894599120926,7.157777241331809,30.401799711554403,31.644879633547056,0.3119098803362256,0.40189323741008753,0.2056792159587334,-1.4949355372533133,0.2544374497366328,0.003816847933735662,0.015001124786018985,R0,17.829734190755556,22.979699465468205,5.666342773328502,7.440576666993058,31.050811818393655,32.27809977212337,0.31838811054920635,0.4103517761690751,-0.4311327766877673,-1.6010611790570333,0.2544374497366328,0.011361149538873561,0.04465203353764724,R3
c_12441,1.8332036283952942,3.373928933028855,4.054259846611762,6.339157289269998,1.320652193422263,2.176440243003606,0.028869348478666044,0.05313273910281661,-0.08919468444401789,-0.32107849848312253,0.04622723239499298,0.0012007019699800897,0.025973909917872167,R0,1.8057856087973005,3.366042171375956,4.031395878301505,6.3776723886791284,1.292183238911715,2.1350504065341505,0.028437568642477176,0.053008538131904814,-0.16546316042437445,-0.31490951633025355,0.04622723239499298,0.0019157483825632292,0.04144198740244571,R3
c_12517,1.125873944602316,1.368346790885015,1.7954448331338186,1.8905579837741002,0.836059679417039,1.065719062429268,0.060858051059584674,0.07396469139919006,0.1769338386021953,-0.562594605330456,0.05916996185245165,0.003346867295839671,0.05656362098365957,R0,1.1258945181626923,1.3634572017140945,1.7865047836595478,1.8807237681390194,0.8399587316043516,1.0642701728704296,0.06085916314392936,0.07370038928184298,0.2508293967044811,-0.55144714666236,0.05916996185245165,0.002420099235303196,0.04090080776692138,R3
c_12624,0.2756046579161196,0.3929168956481567,0.6294126923447552,0.6690119343793595,0.18249728043489966,0.2778984710047486,0.05905814098202561,0.08419647763889071,-0.05981314248493867,-0.016953912982200725,0.08349169680101902,0.006413645312335713,0.07681776222156542,R0,0.2769161518343611,0.39220499630943834,0.6262075519687128,0.665782612358507,0.18499736232532116,0.2786680523421792,0.05933917539307736,0.0840439277805939,-0.022454352066688565,-0.013272152430310769,0.08349169680101902,0.007523776198516776,0.09011406507221624,R3
