container_id,left_variant,right_variant,delta_day1_mae,delta_day1_rmse,delta_day1_mape,delta_forecast_mae_scaled,delta_forecast_rmse_scaled,delta_forecast_pearson_r,delta_forecast_r2,delta_forecast_std_ratio
c_1186,g96,g288,0.6031102431869058,0.8489471299855436,0.3317379983589639,0.026686297192216005,0.03756403672159511,-0.004909166901011175,-0.07455362087271933,0.009324048896929171
c_11996,g96,g288,0.19157083945141862,0.3823541649742199,-0.22504143595187998,0.009122421809536208,0.0182073405597883,-0.04340802607954275,-0.1515220249437147,0.09914066004851607
c_12060,g96,g288,-0.0050438172960032834,-0.00824489363162939,-6.9846948899879635,-0.0050438172960032834,-0.00824489363162939,0.1600107868503704,0.07086018981511111,-0.03898203403833858
c_12158,g96,g288,0.7319108049074812,1.0300667785711441,1.9240420641849934,0.017743296894207297,0.024971317469607,-0.01285024770219767,-0.07281094623202222,0.06301975106508695
c_12164,g96,g288,0.08564122683472108,0.08858809340724605,1.1673080922066177,0.006587783634885498,0.006814466136958505,-0.1706252488284629,-0.1946579339876363,0.08864864948081241
c_12174,g96,g288,0.07508340146806503,0.10187206138498817,0.7388577876234237,0.015016686812870994,0.020374415675666502,-0.05398120276338225,-0.2452488294721068,-0.31181552677606095
c_12189,g96,g288,0.06637296411726218,0.061870291810302125,2.024218208468076,0.0048565578124507985,0.004527093820808702,0.0624365258051545,-0.338128846273654,0.25970541801088576
c_12193,g96,g288,-0.029827696581681495,-0.021829987527823225,-1.5584866951191554,-0.008948313755293591,-0.006549002901632295,0.2004541168976866,0.10843620692608069,-0.052722771913154415
c_12231,g96,g288,-0.38158582109543815,-0.2892703827869276,-4.043628560370294,-0.01683466813604667,-0.012761929492348889,0.04209122618724148,0.12047161690651187,-0.01747650828732991
c_12237,g96,g288,0.2668758365843047,0.18451971744774376,0.34307638233596904,0.004765644953179604,0.0032950011000292267,0.01565585371385636,-0.013321960456528503,-0.0124876524231744
c_12441,g96,g288,0.451882102423244,0.3880331415227505,3.1821799458788718,0.0071162528126995014,0.006110757295891403,-0.07219616107223992,-0.14302547560231169,0.030946352109134212
c_12517,g96,g288,0.3717549112108023,0.4751381443585312,1.6282239651023929,0.020094874427533604,0.025683161489460107,-0.011546566957371884,-0.07668984528663902,0.07120672471827161
c_12624,g96,g288,-0.0013086497783660889,0.008834907393433622,-0.08577302081400084,-0.00028042519642480085,0.0018931953624434922,0.017843647416019695,-0.0476434351188378,0.0865898240561786
c_12767,g96,g288,0.023618780904346104,0.021299808312247537,0.334336903916979,0.004723754007783201,0.004259957262629316,-0.1312464258336635,-0.0701513551759351,0.003645845105016976
c_12858,g96,g288,0.007771527187691862,0.04181603537501177,-0.17740676182216042,0.0010362055135407985,0.005575472793862599,-0.2397679308727021,-0.2116806249473328,0.2469733468985715
c_1286,g96,g288,-0.004678340007861492,-0.005377973061257091,-0.13337070418497632,-0.001169580500572906,-0.0013444878546473027,-0.0013117178691657017,0.0190319305037222,-0.05774098990049409
c_12971,g96,g288,0.007115565240383037,0.0014932987692870547,0.029375114269370783,0.0007490072472902953,0.00015719076573109114,0.04995606438191161,-0.0021955579178888004,0.010526243576541791
c_12974,g96,g288,-0.005401009652349575,-0.0047740502905492255,-0.36722565563155385,-0.0010802052677091056,-0.0009548135747423081,0.0244838668327164,0.0142950469523226,-0.02945104718754689
c_12993,g96,g288,-0.06384960975911813,-0.0884012222948023,-2.570259780595194,-0.0009674185131260116,-0.0013394126538402995,0.1138495047116162,0.0358475961438807,0.01306531504397998
c_12999,g96,g288,1.2166963749461703,1.2930565125800104,5.259105914711821,0.04345343701471201,0.046180590770879104,-0.028264758854126715,-0.17131037347214606,0.027005923054265746
c_13020,g96,g288,0.3925917314158547,0.4717647124982436,2.104395682945718,0.0301993677340862,0.03628958719481601,-0.020292153343520525,-0.18228320008084697,-0.030690944397970377
c_13044,g96,g288,-0.0016093448632292784,-0.003828719293973437,-0.01610565857468771,-0.00040233706951969817,-0.0009571806839943908,0.08838051284298849,0.011618768910238102,0.039223010144063306
c_13083,g96,g288,0.048096269369125366,0.11348003784171845,0.18302032675114255,0.005344028248348204,0.012608893608567012,-0.06465026715283695,-0.12328016900589311,-0.10557293006511559
c_13166,g96,g288,0.2831979233909532,0.42138771689802224,1.4788872387913532,0.013485616882478596,0.0200660804999718,-0.02075186798979267,-0.11506173435730238,-0.026301194100867398
c_13170,g96,g288,0.4403049366341696,0.8161549418476564,1.8749825128907283,0.01420339131598461,0.02632758395169381,-0.04087171256155531,-0.1184523037775741,-0.0069888509158332335
c_13229,g96,g288,0.13014683855904474,0.12699180366611307,0.9801386421932019,0.0153113869828434,0.0149401980521911,-0.0398131023967315,-0.12062192781618514,-0.06230891943958239
c_13269,g96,g288,-0.02465020202928131,-0.021539556458917697,-1.3088169705719324,-0.008216728085513991,-0.007179847634926795,0.07528655804738979,0.0842794738364545,0.06696851216882271
c_13308,g96,g288,-0.00036982145441780004,-0.0005972680404174998,-3.698214544177361,-0.001479285817670999,-0.0023890721616699005,,,
c_13389,g96,g288,3.033906211214208,3.4438247868435568,11.131056273230694,0.05653241428667451,0.0641706486331538,-0.02031657144569532,-0.2357212747876194,-0.06730059825581003
c_13403,g96,g288,-0.02123535747329386,0.018906916734591883,-1.413528988413594,-0.0030336227844512953,0.0027009854729114907,-0.0450477534200713,-0.09113375930606099,0.20007646894173028
c_13441,g96,g288,0.31122521261374203,0.47593779122277713,2.26728963432039,0.015561256649283095,0.023796886008574006,-0.0007789191714928645,-0.08793712987766811,-0.015671678606159256
c_13607,g96,g288,0.08106454848139366,0.04447247791211506,1.6392310890974926,0.005790324314995099,0.003176604931954541,-0.11724570488827481,-0.027213412861798236,-0.011825496310114897
c_13615,g96,g288,-0.03748094124926471,0.16187108755810575,-0.7456907090486453,-0.0004462009419320019,0.001927037804038502,-0.0908092117105746,-0.07234793159211009,-0.0659750805367102
c_13658,g96,g288,0.0014389049675727072,0.03477435903161652,-0.5996607111024055,0.00023981226884101092,0.005795726591725003,0.016702779134549102,-0.028659891250570488,0.008391833282036715
c_13690,g96,g288,0.09395401544041104,0.113269039674464,3.268053524707568,0.0026098340101552014,0.003146362833946703,-0.08473595410063905,-0.07200399535929511,-0.041521629690852324
c_1379,g96,g288,0.015812272117251502,0.013298746223214142,0.6137684208385785,0.002635375348969307,0.0022164559120236987,-0.1304500770669608,-0.055934315077634605,0.009529045978886624
c_1387,g96,g288,0.10597280371520251,0.17769862641001444,2.7571912275769854,0.0044155324792007,0.007404108461712501,-0.296389023156828,-0.6813740149535692,0.007119227505490433
c_13873,g96,g288,0.07018174976110436,0.023269603743398815,1.616535953625327,0.010025966712938872,0.0033242284293131252,0.0643409751976623,-0.017308401169384313,0.0059666305457265895
c_14106,g96,g288,-0.0006031772077600989,-0.0009162065470252959,-4.866341404658662,-0.0018095315414636964,-0.0027486196713913114,0.1586229613284601,0.0329573279880515,-0.012084487842980995
c_14135,g96,g288,0.7005294925636716,0.778488290505015,3.2145272503161646,0.025945537065950097,0.02883289727117261,-0.015281069524471835,-0.16601547924194127,0.07630690491976755
c_14296,g96,g288,0.1944554415014057,0.29795810214587615,1.2769545421444093,0.007479055866233014,0.011459925717769492,-0.4435675683927118,-0.25919383511284777,0.019097316015293103
c_14363,g96,g288,0.029882830050256437,0.02347563129633634,0.5064770637368294,0.0070312545038273,0.005523679685277505,-0.04218617591857993,-0.0427583168997058,0.0501217504586674
c_14388,g96,g288,0.22612138644412716,0.27889418175887504,2.581558612465784,0.006852160310492898,0.0084513366242134,-0.08265393242460473,-0.1704864266051106,0.02875106966064611
c_14396,g96,g288,0.8636634631289377,1.1044675660350975,4.082145406789245,0.04112682563715331,0.052593686402039624,-0.028239080633384428,-0.22137448478447086,-0.0169120123971247
c_14413,g96,g288,0.015590661929713368,0.027718909194618724,0.20565368055815014,0.0038976636197831926,0.006929731140948608,-0.04257603903544788,-0.0804138287567906,-0.03316372616706331
c_14416,g96,g288,0.00038808236519499717,0.0025108735533061477,-0.015036078623552385,0.00019404785707599626,0.001255441076647379,-0.03139531384456169,-0.009469503365346504,0.011323363541513802
c_14417,g96,g288,0.05142497022946668,0.09165342475669735,0.13676905357194613,0.0017732723573243986,0.003160460982071199,-0.08889464760295751,-0.07492091695451664,0.09337247496010026
c_14435,g96,g288,0.0834133352630983,0.14094868234656066,1.7436710740773105,0.0026621271820194,0.004498361439171698,-0.2817318799548019,-0.608180849299738,0.03803193825229079
c_14471,g96,g288,0.38273092442088696,0.8503124011374306,-1.119902121776077,0.006958743306129701,0.015460223670695397,-0.09031027399806946,-0.16208349136614197,0.23352068418319694
c_14820,g96,g288,0.703750587171978,0.6885359327112006,2.4772632027576265,0.018279231941541893,0.01788404571160851,-0.05199316822839117,-0.09955804207539987,0.015031177749364355
c_14855,g96,g288,0.11377571937110698,0.10913062222278014,1.6100883482448012,0.007110982499499298,0.006820663593985102,-0.013068938188332546,-0.06915450012949498,0.12943166343218104
c_14886,g96,g288,0.20510466198126442,0.5981114787905888,-1.576559670611374,0.005697359064490398,0.016614212055556105,0.004059764510646824,-0.03550186101596564,0.04655928757459471
c_1494,g96,g288,-0.008779879411061509,-0.00216946928550249,-0.9707644774957913,-0.0017559772675546995,-0.00043389619938269397,0.0601801072792896,0.011655563724951794,0.006620343212823204
c_14964,g96,g288,-0.02746853232383728,-0.017286063295359533,-0.6638287612326152,-0.0015696284316835118,-0.0009877774227229907,0.09319160841682539,0.008939032394636698,-0.010399596476317094
c_15030,g96,g288,0.911966181463665,0.8591133529811419,4.695939137962636,0.038807067068829804,0.03655801110876092,-0.018489238732465663,-0.4742362025904155,0.0070728507010413555
c_15035,g96,g288,-5.3912826842800535e-05,-0.00022892339725148758,-0.3125910516246222,-0.0002156513073715005,-0.0009156935890060058,0.0498437322201503,0.0045282185524212005,-0.0017737044329386997
c_15072,g96,g288,0.1357376542356281,0.13285550755774844,0.6934681579053326,0.0099320254076605,0.00972113745508868,0.0028848934659675973,-0.09970242749448101,-0.0051318439771209645
c_15179,g96,g288,0.43648484452731084,0.5665430173646677,4.281149579767156,0.017937735349022793,0.0232825911356921,-0.007015792931518217,-0.12588629992405387,0.016746347057621236
c_15235,g96,g288,0.2971134781837468,0.6236035879600887,-0.2651261392552655,0.007618296109378697,0.015989838446643104,-0.06397693433888929,-0.1368314475320621,0.19189198409069164
c_15282,g96,g288,0.004497966004742504,-0.004131818198886528,0.610420283265217,0.0022489825367099925,-0.0020659086575288144,0.02003012045855751,0.0202628484574637,-0.06848590864954182
c_15420,g96,g288,-0.007368121710088715,0.0434597371100649,1.4609551834848205,-0.0009824164349722941,0.005794631331880684,-0.1722150535359359,-0.0555030291051018,-0.09296384519039258
c_15446,g96,g288,0.006431195661813591,0.006957823520666873,53.63480251204851,0.0012862390770654007,0.0013915646896238976,-0.0808543824584064,-0.0302634066655312,0.016985946531463098
c_15486,g96,g288,0.024751203755537743,0.01715656128958498,0.39293363976413787,0.0049502401923140205,0.00343131162193433,0.0312410315692076,-0.026083680326112604,-0.051962634092468984
c_15527,g96,g288,0.28510263363520316,0.3038995029901006,0.6398283976372614,0.006131239546509695,0.0065354723671960935,0.02349457576994768,-0.1176768805072764,0.058172932826703716
c_15555,g96,g288,0.10045390576124169,0.021378258604938694,-169.49290347881742,0.0200907793516914,0.004275650891933602,-0.130555133676813,-0.025638963995956207,-0.0548006066235277
c_15570,g96,g288,0.18687389294306422,0.18938818441358196,3.1644312104838956,0.007474956197353697,0.007575526004690199,-0.2634324640863142,-0.3838548363439501,0.04873263117574156
c_15604,g96,g288,-0.010337978187534569,0.009171869083670181,-1.5545900692611383,-0.00344599336299492,0.0030572896817194772,-0.009077815458759214,-0.010652700565280795,0.0125326486509795
c_15616,g96,g288,0.1532149277627468,0.4266356901258739,-3.1848522522494527,0.007295949394733298,0.020315985148234503,-0.07916806213209981,-0.23104007575171712,0.19183884887701963
c_15630,g96,g288,-0.17411195238431265,-0.16331015231340174,-2.1568065147850533,-0.015828360139034797,-0.01484637713423781,0.11449147366782292,0.2541128400339272,0.08088263440492471
c_15640,g96,g288,-0.9504306356880878,-0.9151338780508347,-32.649138767995964,-0.019396542471012204,-0.018676200319698494,0.023574440740000202,0.30663524689740507,0.04190065946987198
c_15642,g96,g288,0.030284515685505276,0.02615682706610578,0.5110055861463323,0.004326364261999907,0.0037366954255997897,-0.03558199121383515,-0.0932025252375724,-0.0021518075668066627
c_15647,g96,g288,0.050346822374396805,0.04034389661229487,0.24786379931329705,0.003051321151170905,0.0024450846736955023,0.0232852425250214,-0.020181064758633904,0.09348348031327469
c_15794,g96,g288,-0.003480914474797203,-0.004784387179815795,-34.809144747972255,-0.0014918205464102986,-0.002050451684260001,,,
c_15856,g96,g288,0.008695452908674906,0.011759876324946905,0.367030607035403,0.001932324964070295,0.002613307384683211,-0.1183423070194212,-0.036155015679134,0.00179372803370291
c_16008,g96,g288,0.38082334399223683,0.45794615951509066,1.2371818830899173,0.009764701931968212,0.011742210110475382,-0.12838670136930008,-0.16249202641238236,0.010074437788246293
c_16048,g96,g288,1.6020523514339908,1.5364514245033751,15.447454306627012,0.04329871301477711,0.041525716786840305,-0.01228806050739717,-0.22046379540641747,0.03371729029807402
