container_id,actual_std,gru_std,ridge_std
c_1387,0.018320446213133574,0.001746635651215911,0.003306380162320365
c_13873,0.4510254175095913,0.0030022813007235527,0.016133426404281455
c_14106,0.1697596984966465,0.0014414408942684531,0.0007186102435721326
c_14135,0.10022623717778426,0.005669301375746727,0.013285188647945392
c_14296,0.11470620534416302,0.002105958992615342,0.0040758968223092535
c_14363,0.2249131963439394,0.016026174649596214,0.01643917152642661
c_14388,0.023308831361329833,0.0020341919735074043,0.017346108441943585
c_14396,0.10404797504699322,0.008820419199764729,0.02022401835165746
c_14413,0.16630657424692946,0.003650144673883915,0.017971192831117127
c_14416,0.2652086440202514,0.01022050715982914,0.021557821422074894
c_14417,0.06549632841566351,0.002936769276857376,0.005797630897693569
c_14435,0.01801199914431654,0.002138559240847826,0.004116490088085812
c_14471,0.044625229791021306,0.0015139550669118762,0.007897457872760503
c_14820,0.09843437896040558,0.022598201408982277,0.02006578679095385
c_14855,0.04529300042602047,0.0050275372341275215,0.015131474310420208
c_14886,0.046925170457438097,0.0065771895460784435,0.014570740875004807
c_1494,0.07906002292852038,0.002477084519341588,0.019358724395252137
c_14964,0.1769553210712143,0.005730271805077791,0.015356750870093425
c_15030,0.12886682900422206,0.009318039752542973,0.015304915052749753
c_15035,0.4041243291018966,0.002013155724853277,0.01680216337866175
c_15072,0.17179641791412945,0.00560868950560689,0.013526616142969263
c_15179,0.08955394369948151,0.013820421881973743,0.024022547964885305
c_15235,0.039915590791719684,0.003743652952834964,0.007284160784562651
c_15282,0.1903965149316179,0.013785597868263721,0.03590094457014804
c_15420,0.2326025841961158,0.01011886727064848,0.0489705081898906
c_15446,0.09185700775343594,0.001351637882180512,0.0072932214467552395
c_15486,0.23289553861521914,0.014445045031607151,0.03478873522496616
c_15527,0.11719278402920241,0.007162187248468399,0.017003577937364678
c_15555,0.35528130837355854,0.018604036420583725,0.05145867543225323
c_15570,0.033144444173200505,0.00304017192684114,0.004413835591527796
c_15604,0.5684021078854146,0.009893384762108326,0.02207524876075576
c_15616,0.056331792350029185,0.0022693672217428684,0.0076168930843575925
c_15630,0.10660368191302083,0.0015475568361580372,0.009460423510341119
c_15640,0.13671561893109346,0.003032274777069688,0.018050917777194704
c_15642,0.08340405190805644,0.0021935177501291037,0.013332570519183679
c_15647,0.0768951669970099,0.006048793904483318,0.021676710877894342
c_15794,0.00476745978382072,0.0014738376485183835,0.012445450232446142
c_15856,0.15676657493357576,0.008901312947273254,0.01805699371018123
c_16008,0.1715024471601342,0.0025806878693401814,0.006414331440137832
c_16048,0.10531142907168396,0.004718468990176916,0.018488069369208836
