container_id,model,bias,actual_std,pred_std,amplitude_ratio,pearson_r,phase_lag_steps,mae,rmse,r2
c_10898,gru,-0.04853767352668017,0.1611769535229937,0.00807915162295103,0.05012597301510882,-0.11391658503083363,77.0,0.1275640894100085,0.16939854494249448,-0.1046214334886435
c_10898,ridge,-0.038394528303125675,0.1611769535229937,0.017598858638406347,0.10918967168526159,-0.02384512387326187,-30.0,0.12817922543273264,0.16702438389186428,-0.07387534464234546
c_11013,gru,-0.039033359599474876,0.080441159528662,0.004082051571458578,0.05074580718847174,0.06205193676387431,2.0,0.062111967527414956,0.08927650916858816,-0.2317363454029815
c_11013,ridge,-0.04036752077472693,0.080441159528662,0.014613260937207783,0.18166397678542823,0.2522411621201711,0.0,0.06260389377885307,0.08786831875845315,-0.1931855613782898
c_11087,gru,0.019611244107075054,0.1281947913060115,0.0069697704166173935,0.054368592870360694,0.04590844734596374,29.0,0.06990198787323579,0.1295571140252266,-0.02136688065634651
c_11087,ridge,0.018544910459773856,0.1281947913060115,0.02766597431861417,0.21581200013480437,0.02683053895570558,46.0,0.07154954440291152,0.1317304375004828,-0.05592119907175053
c_11203,gru,-0.025912468024483565,0.07589097176668522,0.005290420260280371,0.06971079875673394,0.0844978948263839,-36.0,0.051603818597178476,0.07994393756698931,-0.10966232869172154
c_11203,ridge,-0.028514029486617742,0.07589097176668522,0.012884760569628177,0.1697798864565911,0.2824993994092489,2.0,0.048163838357732254,0.07865131783643009,-0.07406800516397993
c_11307,gru,-0.016275151527172894,0.26055273834573334,0.010612945072352886,0.04073242576430085,0.149746518012642,-19.0,0.15374644810277588,0.2596864973399166,0.006638203433431578
c_11307,ridge,-0.027836574381069557,0.26055273834573334,0.02762642431545433,0.10603006704460807,0.09566409077906583,14.0,0.15064259548568132,0.26086129747350384,-0.0023698989696769868
c_11327,gru,-0.020980090235269835,0.09097683280009965,0.007365227211266756,0.08095717321188926,0.17832495898760825,-4.0,0.07467752329540041,0.09236999633879843,-0.03086127583015874
c_11327,ridge,-0.023781547612441445,0.09097683280009965,0.014156363636737914,0.1556040499655909,0.29395447496011023,0.0,0.07295181513827996,0.09102516215336051,-0.0010627362747752667
c_11461,gru,-0.00928593101921646,0.049435146510285986,0.006113794632256031,0.12367303555950687,0.26407620142421084,-1.0,0.03650420518864978,0.049069479942053185,0.014739075148696656
