container_id,model,dom_freq_actual,dom_freq_pred,dom_freq_abs_error,spectral_corr,spectral_energy_ratio
c_10695,gru,0.010416666666666666,0.0625,0.052083333333333336,0.4535343686581921,0.0020558064674904434
c_10695,ridge,0.010416666666666666,0.0625,0.052083333333333336,0.10281953710480753,0.012658616453097297
c_10733,gru,0.020833333333333332,0.0625,0.04166666666666667,0.2672136345901024,0.0013442443992403206
c_10733,ridge,0.020833333333333332,0.0625,0.04166666666666667,0.11374854578341216,0.02006437340049149
c_10878,gru,0.19791666666666666,0.010416666666666666,0.1875,0.12952238824961096,0.0025864765988211067
c_10878,ridge,0.19791666666666666,0.03125,0.16666666666666666,-0.08955658323262473,0.023074018608704772
c_10898,gru,0.10416666666666666,0.010416666666666666,0.09374999999999999,0.11562231486065039,0.0016494738675636809
c_10898,ridge,0.10416666666666666,0.0625,0.04166666666666666,0.15392012010426107,0.012799821739631598
c_11013,gru,0.03125,0.0625,0.03125,0.22305506280103776,0.0015562075183568563
c_11013,ridge,0.03125,0.0625,0.03125,0.2100486893976418,0.0451130764852264
c_11087,gru,0.010416666666666666,0.010416666666666666,0.0,0.5728645159717082,0.005032005012124598
c_11087,ridge,0.010416666666666666,0.0625,0.052083333333333336,-0.07441938315509417,0.15134423978458636
c_11203,gru,0.05208333333333333,0.0625,0.010416666666666671,0.566702742733736,0.0027449872316356134
c_11203,ridge,0.05208333333333333,0.0625,0.010416666666666671,0.8454596452215757,0.038703651157492934
c_11307,gru,0.010416666666666666,0.0625,0.052083333333333336,0.1621834812958791,0.0011239022203473094
c_11307,ridge,0.010416666666666666,0.0625,0.052083333333333336,0.04156110646790364,0.008129198888707697
c_11327,gru,0.010416666666666666,0.010416666666666666,0.0,0.7481972459642904,0.005448317318197214
c_11327,ridge,0.010416666666666666,0.0625,0.052083333333333336,0.09427343202216683,0.02594596441322963
c_11461,gru,0.05208333333333333,0.0625,0.010416666666666671,0.2988708059229351,0.008975613927381006
c_11461,ridge,0.05208333333333333,0.0625,0.010416666666666671,0.42828248494659166,0.058861313269451106
c_11735,gru,0.010416666666666666,0.0625,0.052083333333333336,0.26123812790838064,0.00038462192304358745
c_11735,ridge,0.010416666666666666,0.0625,0.052083333333333336,0.30373493739127094,0.0032227303991742527
c_11752,gru,0.020833333333333332,0.010416666666666666,0.010416666666666666,0.28807276172359464,0.0038151692677277182
c_11752,ridge,0.020833333333333332,0.0625,0.04166666666666667,0.26211467039238956,0.01957815869902407
c_1181,gru,0.125,0.010416666666666666,0.11458333333333333,-0.20754740996879012,0.0009808426107624385
c_1181,ridge,0.125,0.05208333333333333,0.07291666666666667,-0.2024317308689828,0.019757520054970532
c_1186,gru,0.0625,0.0625,0.0,0.9185578467126085,0.005952642891869382
