container_id,gru_pearson_r,ridge_pearson_r,delta_r_ridge_minus_gru,gru_std_ratio,ridge_std_ratio,gru_bias,ridge_bias,gru_phase_lag,ridge_phase_lag,alpha,kappa_effective
c_10695,0.059504031829313214,0.21253355034443683,0.1530295185151236,0.07536367883794637,0.12436497850738232,-0.06549440285226883,-0.06344305874058115,14.0,0.0,1.0,0.1
c_10733,0.024888908105772736,-0.06418955729853917,-0.08907846540431191,0.0516081246862375,0.1753703047203576,0.0301334976834835,0.014681768471854893,6.0,-40.0,1.0,0.1
c_10878,-0.03544804784468331,0.2569350667893727,0.29238311463405603,0.05035871753440768,0.13645714580668128,-0.00012118483640164689,-0.0008011827412647311,5.0,-1.0,1.0,0.1
c_10898,-0.11391658503083363,-0.02384512387326187,0.09007146115757175,0.05012597301510882,0.10918967168526159,-0.04853767352668017,-0.038394528303125675,77.0,-30.0,1.0,0.1
c_11013,0.06205193676387431,0.2522411621201711,0.1901892253562968,0.05074580718847174,0.18166397678542823,-0.039033359599474876,-0.04036752077472693,2.0,0.0,1.0,0.1
c_11087,0.04590844734596374,0.02683053895570558,-0.01907790839025816,0.054368592870360694,0.21581200013480437,0.019611244107075054,0.018544910459773856,29.0,46.0,0.4919965701602637,0.0491996570160263
c_11203,0.0844978948263839,0.2824993994092489,0.198001504582865,0.06971079875673394,0.1697798864565911,-0.025912468024483565,-0.028514029486617742,-36.0,2.0,1.0,0.1
c_11307,0.149746518012642,0.09566409077906583,-0.05408242723357616,0.04073242576430085,0.10603006704460807,-0.016275151527172894,-0.027836574381069557,-19.0,14.0,1.0,0.1
c_11327,0.17832495898760825,0.29395447496011023,0.11562951597250198,0.08095717321188926,0.1556040499655909,-0.020980090235269835,-0.023781547612441445,-4.0,0.0,1.0,0.1
c_11461,0.26407620142421084,0.33219769466901944,0.0681214932448086,0.12367303555950687,0.28402121556660365,-0.00928593101921646,-0.009386612860235195,-1.0,-1.0,1.0,0.1
c_11735,0.26571249378287853,0.3941621917320301,0.12844969794915156,0.025858665110954186,0.054045279171373174,-0.054389020739003736,-0.055625123422126756,64.0,-1.0,1.0,0.1
c_11752,-0.18458237616304563,-0.0822720548389369,0.10231032132410872,0.07300648865762956,0.15633489684089097,0.006087402273597952,0.009316822361558714,52.0,20.0,1.0,0.1
c_1181,0.27400049001893784,0.19345633685554903,-0.08054415316338881,0.0442104874601899,0.12671152392521276,-0.018359905827227418,-0.018036069581364365,1.0,42.0,1.0,0.1
c_1186,0.5171573319535101,0.5487325796709419,0.03157524771743181,0.10927189575215362,0.3568853641047224,0.009718589789023348,0.007502411819002356,-17.0,-16.0,1.0,0.1
c_11996,0.456870760119378,0.4253688612326608,-0.03150189888671717,0.09110518223135665,0.2003004654993561,0.007858170086755255,0.0037536526682569633,0.0,0.0,1.0,0.1
c_12060,-0.013440688038796476,0.011283332176772378,0.024724020215568854,0.04504977805574547,0.14462137061228514,-0.03897724081847205,-0.0431790857312792,-12.0,-28.0,0.0,0.0
c_12158,-0.23360379713552998,0.546719368384231,0.7803231655197609,0.06804493952258839,0.2084084118419042,0.01602440676148492,0.016629504603707938,-22.0,-1.0,1.0,0.1
c_12164,0.11856023375172532,0.24742852876631494,0.12886829501458963,0.07191646960599986,0.1493071288197409,-0.010545846358529004,-0.010228358948183568,48.0,1.0,1.0,0.1
c_12174,0.2355280766228879,0.17393233977687514,-0.06159573684601277,0.08369289203457494,0.14474285397146233,-0.06908432964026719,-0.07840831866229715,2.0,-18.0,1.0,0.1
c_12189,0.0866355449435662,-0.1964768620304818,-0.28311240697404805,0.04366303776924145,0.13415210034086733,0.003033286471197477,-0.0009669596180953078,-4.0,-17.0,1.0,0.1
c_12193,0.05113942711187606,-0.16722512164104975,-0.2183645487529258,0.10061266842558629,0.14908905599070807,-0.022699192694280043,-0.029222078653270266,-17.0,-59.0,1.0,0.1
c_12231,-0.35711506933041814,-0.5328149239435079,-0.1756998546130898,0.0611349019333941,0.1203012658669604,0.06696439630537544,0.04533193055022446,69.0,-41.0,1.0,0.1
c_12237,-0.03172219258539032,-0.1667644703821248,-0.13504227779673447,0.04460466012428581,0.1279690572158738,0.3015431861358137,0.2900748190231014,-31.0,-47.0,1.0,0.1
c_12441,-0.1509208079983424,0.1043711141846356,0.255291922182978,0.044652340251743264,0.11237812953206741,-0.025110226743215964,-0.027179512027772672,11.0,47.0,1.0,0.1
c_12517,0.3341542613305395,0.5722162257936332,0.2380619644630937,0.1309277832678598,0.37227226675187103,-0.041883501824724945,-0.04376939063392498,-19.0,0.0,1.0,0.1
c_12624,0.04373293937038779,0.26193750574814173,0.21820456637775393,0.09872974286844659,0.21078432015801743,-0.0010825030889623627,0.00033985217995676176,47.0,-16.0,1.0,0.1
c_12767,-0.07533764516503023,0.07565181813408617,0.1509894632991164,0.09003159024758849,0.1773092922874047,-0.006917574626821151,-0.007211886357524883,32.0,-33.0,1.0,0.1
c_12858,0.090652611490433,0.09798373642555261,0.007331124935119615,0.06021583417173283,0.19454543168952979,0.0009754562591317526,-0.0017997282012535978,-25.0,-1.0,1.0,0.1
c_1286,0.08487029978688607,0.08227307847801878,-0.0025972213088672896,0.09186927822075351,0.22959686801034904,0.002297745859454695,0.0005118409469030879,18.0,32.0,1.0,0.1
c_12971,0.03796401108613651,0.18689282746937078,0.14892881638323427,0.02497102948470472,0.09768197257315064,-0.014388597733421842,-0.010817790091500037,-17.0,1.0,1.0,0.1
c_12974,-0.00938617575564531,0.013498773133678133,0.022884948889323443,0.08713755309149718,0.1295542827913467,-0.0139194046673842,-0.024582891157287196,19.0,12.0,1.0,0.1
c_12993,0.18055773910818693,0.1669135594095844,-0.013644179698602515,0.05936537877315008,0.2558838775692594,0.04080064311420809,0.036204733518456794,34.0,-33.0,1.0,0.1
c_12999,0.27299505140376895,0.43739145254375056,0.1643964011399816,0.07963065254879646,0.24345898809818212,0.008581448764044763,0.006106827380603623,-36.0,0.0,1.0,0.1
c_13020,0.03774929505625374,0.25116481423013487,0.21341551917388113,0.14340848570495837,0.2347124520462391,-0.04445727889800804,-0.044704649021991096,11.0,18.0,1.0,0.1
c_13044,-0.05235973403895694,0.10547743890060642,0.15783717293956334,0.04485881439193488,0.1390877113583735,0.0011644171256331656,-0.0015692527877255193,-45.0,-29.0,1.0,0.1
c_13083,0.2621157072904832,0.2662927689999757,0.004177061709492502,0.09334360050538267,0.12818626707537986,-0.0297033505367284,-0.03153620091170339,1.0,0.0,1.0,0.1
c_13166,-0.0783502336390596,0.17335172747818767,0.2517019611172473,0.07669197024000289,0.23512810177424387,0.03671924147268065,0.03172328506128893,-8.0,30.0,1.0,0.1
c_13170,-0.2404260345605027,0.3389898088628794,0.579415843423382,0.06245645247009779,0.23879966051866963,-0.060874120414007526,-0.05977276781262672,38.0,-1.0,1.0,0.1
c_13229,0.2616535542275402,0.16084568239572278,-0.10080787183181744,0.04858581357113046,0.06204591503558607,-0.10675932873147365,-0.10569121765728136,1.0,30.0,1.0,0.1
