container_id,day1_mae,day1_rmse,day1_mape,forecast_mae_scaled,forecast_rmse_scaled,forecast_pearson_r,forecast_r2,forecast_std_ratio,residual_mae_scaled,residual_rmse_scaled,residual_pearson_r,residual_r2,residual_std_ratio,train_steps,validation_steps,input_window,variant_id
c_11203,2.985122339593039,3.7585893599788287,17.981300852179835,0.10661151946803167,0.13423534044619434,0.8726475700581218,0.695314045077837,0.7578940604247896,0.10661151946803167,0.13423534044619434,0.8726475700581218,0.695314045077837,0.7578940604247896,612,154,192,g192
c_11307,2.761156506008572,4.891830910925225,21.23070270012671,0.16242097174517467,0.2877547573790493,0.3655804214324434,0.04432226451227994,0.1515283503984444,0.16242097174517467,0.2877547573790493,0.3655804214324434,0.04432226451227994,0.1515283503984444,614,154,192,g192
c_11327,0.9309467446236382,1.162958346564474,16.55128463504922,0.10343852906029612,0.12921759730269372,0.6600935330455795,0.3776840886734305,0.8816006767053035,0.10343852906029612,0.12921759730269372,0.6600935330455795,0.3776840886734305,0.8816006767053035,612,153,192,g192
c_11461,3.6448405749268,4.419736663870361,38.747589622819405,0.08542595190616946,0.1035875794184673,0.6679531830371004,0.41200827336174894,0.49119931526920263,0.08542595190616946,0.1035875794184673,0.6679531830371004,0.41200827336174894,0.49119931526920263,609,153,192,g192
c_11735,3.047718816333347,4.520120843845374,28.62174602377095,0.08625619183880213,0.12792794708024752,-0.33592192663714865,-0.5826480718382674,0.23990060981073025,0.08625619183880213,0.12792794708024752,-0.33592192663714865,-0.5826480718382674,0.23990060981073025,613,154,192,g192
c_11752,0.5033281488964955,0.6705506415794001,34.83658721701033,0.10066562987243138,0.13411012875783973,-0.025893403630103624,-0.217476552701257,0.4253056769058262,0.10066562987243138,0.13411012875783973,-0.025893403630103624,-0.217476552701257,0.4253056769058262,612,153,192,g192
c_1181,8.368842541906568,11.457119187826889,58.75352078675018,0.11464167942810388,0.15694683993655817,0.4011084204671653,0.14313343151700997,0.2852986241681136,0.11464167942810388,0.15694683993655817,0.4011084204671653,0.14313343151700997,0.2852986241681136,609,153,192,g192
c_1186,2.3333651870489116,2.7441200962176615,21.708134051910655,0.10324623660805325,0.12142123326673931,0.9582012039376862,0.8701543496654965,0.7747728054236358,0.10324623660805325,0.12142123326673931,0.9582012039376862,0.8701543496654965,0.7747728054236358,613,154,192,g192
c_11996,2.0260111576981017,2.381883176352581,22.14128410870051,0.09647672304430259,0.11342300853873832,0.7003393320138035,0.4762765947248011,0.8176615845206274,0.09647672304430259,0.11342300853873832,0.7003393320138035,0.4762765947248011,0.8176615845206274,613,154,192,g192
c_12060,0.18363609517562307,0.24803471563504206,967.00270717224,0.18363609517562307,0.24803471563504206,-0.1506691787819452,-0.08456617860789706,0.17576398352248654,0.18363609517562307,0.24803471563504206,-0.1506691787819452,-0.08456617860789706,0.17576398352248654,614,154,192,g192
c_12158,4.2031895584530305,5.643627780198265,14.241925097186947,0.10189551228738895,0.1368152238593606,0.8691773763503788,0.7546364498993396,0.8803107421030745,0.10189551228738895,0.1368152238593606,0.8691773763503788,0.7546364498993396,0.8803107421030745,611,153,192,g192
c_12164,0.8335663169622421,1.0142280308908855,11.889981099045237,0.06412048446945848,0.07801754002241205,0.15814955435765365,-0.10033652253123782,0.40028750501826954,0.06412048446945848,0.07801754002241205,0.15814955435765365,-0.10033652253123782,0.40028750501826954,614,154,192,g192
c_12174,0.7200182169675827,0.9290470924515654,11.038310304341714,0.1440036413446069,0.18580941828342182,0.5940838712587413,-0.17252581632739528,0.5842246244977282,0.1440036413446069,0.18580941828342182,0.5940838712587413,-0.17252581632739528,0.5842246244977282,614,154,192,g192
c_12189,0.5122652269072002,0.6675437331823569,15.936116968714407,0.03748282108917772,0.04884466334526212,-0.03527735920509832,-0.9865841473491419,0.7250799134822989,0.03748282108917772,0.04884466334526212,-0.03527735920509832,-0.9865841473491419,0.7250799134822989,614,154,192,g192
c_12193,0.36514892545011307,0.461672586118694,15.153025178296305,0.10954467862844469,0.1385017751988034,-0.13280177066263002,-0.22510573352825203,0.35699453389193075,0.10954467862844469,0.1385017751988034,-0.13280177066263002,-0.22510573352825203,0.35699453389193075,610,153,192,g192
c_12231,10.05610816826423,13.225251222639084,56.28308971079746,0.4436518298777039,0.5834669647066371,-0.8603374284211603,-1.8147443811045334,0.18580832820692653,0.4436518298777039,0.5834669647066371,-0.8603374284211603,-1.8147443811045334,0.18580832820692653,614,154,192,g192
c_12237,14.382092751397026,16.804032779624134,29.100947584248843,0.256823081941536,0.3000720128193017,0.725009075086902,0.29626748709743156,0.5651978906038044,0.256823081941536,0.3000720128193017,0.725009075086902,0.29626748709743156,0.5651978906038044,608,152,192,g192
c_12441,3.2895433008670807,4.188793346441847,27.65284061165545,0.05180383298370078,0.06596525099889122,0.4692179151318149,0.13509528428900774,0.3210375473255395,0.05180383298370078,0.06596525099889122,0.4692179151318149,0.13509528428900774,0.3210375473255395,611,153,192,g192
c_12517,2.124522188416234,2.8010535086289217,11.161409078777458,0.11483904290030732,0.1514083046139286,0.8961092903866912,0.7407789620681089,0.7983547231036444,0.11483904290030732,0.1514083046139286,0.8961092903866912,0.7407789620681089,0.7983547231036444,613,154,192,g192
c_12624,0.3037016771733761,0.4127469001063162,15.297008120883914,0.06507893053459977,0.08844575994590818,-0.0016415873179394316,-0.12295532878272764,0.34773381793393904,0.06507893053459977,0.08844575994590818,-0.0016415873179394316,-0.12295532878272764,0.34773381793393904,613,154,192,g192
c_12767,0.5785016500287586,0.6910023750050169,12.516796618119596,0.11570032714969584,0.13820047250708986,-0.12295561491556145,-0.2309228319782597,0.3716819877141339,0.11570032714969584,0.13820047250708986,-0.12295561491556145,-0.2309228319782597,0.3716819877141339,614,154,192,g192
c_12858,0.3546666486395729,0.46804821820403875,16.033109861576676,0.047288888151309015,0.06240643032585397,-0.12060595851750013,-0.2381131368739262,0.3593533825863396,0.047288888151309015,0.06240643032585397,-0.12060595851750013,-0.2381131368739262,0.3593533825863396,614,154,192,g192
c_1286,0.44902330711483956,0.6226549713522147,22.657850298524494,0.11225582677870989,0.15566374481069897,-0.0545333137235246,-0.21337247409361515,0.4063105570553088,0.11225582677870989,0.15566374481069897,-0.0545333137235246,-0.21337247409361515,0.4063105570553088,612,154,192,g192
c_12971,0.9751130633884006,1.3993750691181202,22.419123946472038,0.10264347778328242,0.14730263765438975,0.05011740396122649,-0.03538090096238733,0.1242813421350614,0.10264347778328242,0.14730263765438975,0.05011740396122649,-0.03538090096238733,0.1242813421350614,614,154,192,g192
c_12974,0.539637917493071,0.6839321712161862,20.737812735775844,0.10792758626153783,0.13678643665200335,-0.09653349903113148,-0.03770845970560166,0.09350816755125052,0.10792758626153783,0.13678643665200335,-0.09653349903113148,-0.03770845970560166,0.09350816755125052,612,153,192,g192
c_12993,4.543329452474912,5.360929592716928,109.04074528026267,0.06883832562780667,0.08122620658848856,-0.058802401318686554,-0.113220325667313,0.27696521652404915,0.06883832562780667,0.08122620658848856,-0.058802401318686554,-0.113220325667313,0.27696521652404915,613,154,192,g192
c_12999,2.6777600003613364,3.5803185707948577,9.883808874628041,0.0956342826338692,0.12786851833968402,0.8791192025527964,0.7553291708526262,0.8729063322950443,0.0956342826338692,0.12786851833968402,0.8791192025527964,0.7553291708526262,0.8729063322950443,612,153,192,g192
c_13020,1.3856279068522985,1.6802857681025645,7.816132964021111,0.10658675798804014,0.129252742677841,0.8583274486204906,0.6569211465126938,0.9175153982814948,0.10658675798804014,0.129252742677841,0.8583274486204906,0.6569211465126938,0.9175153982814948,613,154,192,g192
c_13044,0.5179024218685098,0.6821209372569791,34.481038783187536,0.12947560546712744,0.1705302351151404,-0.03235969105451896,-0.030360597309979198,0.12643844777908253,0.12947560546712744,0.1705302351151404,-0.03235969105451896,-0.030360597309979198,0.12643844777908253,612,153,192,g192
c_13083,0.8197321693102518,1.0939396117363924,11.254148128603054,0.09108135155919524,0.12154884399263487,0.676589413666258,0.44225648521409977,0.5520450328993389,0.09108135155919524,0.12154884399263487,0.676589413666258,0.44225648521409977,0.5520450328993389,614,154,192,g192
c_13166,1.7736069193592776,2.206152343524687,12.901917928067306,0.08445747026605317,0.10505487134010508,0.8329853080907518,0.6908200476531625,0.8231385603124047,0.08445747026605317,0.10505487134010508,0.8329853080907518,0.6908200476531625,0.8231385603124047,614,154,192,g192
c_13170,2.894767979118559,3.776849948379199,13.45637826683205,0.09337960909517969,0.12183386945545066,0.8522109403861047,0.7237079358306492,0.8953886153263638,0.09337960909517969,0.12183386945545066,0.8522109403861047,0.7237079358306492,0.8953886153263638,614,154,192,g192
c_13229,1.4502213526339756,2.698340365991355,10.997428957987243,0.1706142779035332,0.3174518077184046,0.17069892963386074,-0.2944662358951289,0.5224251504146482,0.1706142779035332,0.3174518077184046,0.17069892963386074,-0.2944662358951289,0.5224251504146482,614,154,192,g192
c_13269,0.458782252503766,0.5586810463756017,18.852312735845846,0.15292742014000263,0.18622701686116455,0.1557029366421403,-0.11059907100835198,0.2899875704640823,0.15292742014000263,0.18622701686116455,0.1557029366421403,-0.11059907100835198,0.2899875704640823,614,154,192,g192
c_13308,0.003341698705601933,0.0042026378236563215,33.41698705601932,0.013366794822407732,0.016810551294625286,,,,0.013366794822407732,0.016810551294625286,,,,614,154,192,g192
c_13389,8.34434247023214,10.19357091349324,47.342758865790216,0.15548464107419624,0.1899423140172605,0.8907941764338818,0.6471789267676569,0.5674536070914823,0.15548464107419624,0.1899423140172605,0.8907941764338818,0.6471789267676569,0.5674536070914823,613,154,192,g192
c_13403,0.32249173166023365,0.4758151777678102,14.1149485956676,0.04607024700306948,0.0679735953085835,-0.04521648400140392,-0.19958876238604528,0.3973305670153802,0.04607024700306948,0.0679735953085835,-0.04521648400140392,-0.19958876238604528,0.3973305670153802,613,154,192,g192
