container_id,split,train_steps,validation_steps,day1_mae,day1_rmse,day1_mape,day1_pearson_r,day1_r2
c_22294,known,614,154,2.5654348637377695,3.020285662541664,8.869649247198366,0.9671956541753444,0.8773014202592229
c_22355,known,613,154,1.4932087157362606,3.2837114625428234,15.168859696446656,0.8220137397457891,0.6297365025909076
c_22513,known,614,154,0.9845325928474606,1.7972446717058999,7.2189050687748555,0.7879416021090618,0.6110890899818285
c_22586,known,614,154,0.5228120416980693,0.7375681872658817,15.16113995194127,0.027153048482513556,-0.415982104740906
c_22644,known,609,153,17.092326710101712,21.52380945685747,86.6783189701176,0.22926260554812633,-0.02383657338534717
c_22656,known,614,154,0.08118625819576265,0.24853715973074175,4.879998884320775,-0.07528868919347417,-0.09808081767171517
c_22716,known,613,154,0.7089805163291318,0.8942492467987401,43.339368070489996,-0.11311481539206722,-0.06377414695221861
c_22870,known,614,154,1.3063521219953362,1.5613173629092996,9.416823317032264,0.9457577343838914,0.8564828565284248
c_23039,known,614,154,2.484612866258715,4.794798581909032,15.320443995847418,0.7192856946802939,0.5048722429099438
c_23107,known,613,154,4.400849908643829,5.448131558111614,47.31535463394927,0.0959417114212881,-0.6030407825657054
c_2311,known,605,152,0.42173075680365635,0.5530941198852626,12.56744932726571,-0.2615075629240617,-0.2382348802900831
c_23123,known,613,154,0.37896611426565324,0.516183097215611,14.522281919009023,0.32353786209060237,-0.22530521197266795
c_23164,known,614,154,1.02077481743689,1.8007622995536372,21.216941819004585,0.16296538516018746,-0.053441503126695045
c_23330,known,614,154,0.564756256190627,0.7288104606204718,11.039304428240964,0.7808456096694377,0.5969973427502588
c_23406,known,614,154,0.5594172643729105,0.8004899828946399,17.35139574273016,-0.05094067715428896,-0.29595118444450885
c_23433,known,614,154,0.3945352057508587,0.5142599699520513,8.9579545583947,0.48468047156742666,0.23246031641568987
c_2347,known,611,153,1.5131637785608074,2.0490578871104588,9.468197388929568,0.8745493624252245,0.7417882833143731
c_23800,known,613,154,0.46421938100915683,0.677964891358532,25.604535913483055,-0.16733099669860776,-0.2116729801006254
c_23996,known,612,154,1.0765704627541746,3.4392152180523223,27.01759857647465,-0.062803605561977,-0.09400854338088038
c_24032,known,614,154,2.553814575919136,5.522217508091545,26.37367475808961,-0.1138787698046778,-0.29550228122304434
c_24034,known,613,154,0.6202549115303095,0.7761953562955064,5.6104482594649285,0.9740745658558898,0.9484703843131004
c_24235,known,608,152,0.9412885376358521,1.1641970283893082,9.164059705119127,0.9289226461338995,0.7838761287440574
c_24236,known,614,154,5.5460310897198015,6.170150466575108,111.16014476247645,0.9607876084873951,0.707090169097532
c_24258,known,612,153,1.095469263559484,1.3537421129496976,5.731257874441664,0.9594762694336492,0.9198473987474416
c_24270,known,612,154,0.4334967804270315,1.2067621615471125,10.532864018937914,0.39783673276257725,0.05851222272155332
c_24383,known,613,154,0.26381535387417077,0.3287220145368317,17.41207286085081,0.06572041847352758,-0.05650743312445683
c_24406,known,613,154,4.012154886473653,5.053437923441635,91.81212720190096,0.19292017263874897,0.015091327975729096
c_24419,known,613,154,0.26392473095623753,0.4159423665263074,19.6810817070948,0.03422794110196825,-0.012452513999946735
c_2455,known,614,154,0.6445548623268064,0.9512737291983936,10.263131923500659,0.19155725539476584,-0.07958073250710895
c_2458,known,612,153,1.1147969110322116,1.398287340081041,18.307167242255414,0.9459775013516465,0.8410482322910217
c_24612,known,614,154,0.03344873321962645,0.14065955344402442,46.36605526034312,0.1005026228588709,-0.0361838432659205
c_24654,known,612,154,0.5945250155038228,0.759487875789952,15.801816149134092,0.06362245963088808,-0.06510076158684464
c_24764,known,607,152,0.5620528771868116,1.0922815627192104,16.774283425325507,0.19003377055518622,-0.07878762909283576
c_24788,known,613,154,1.8831204780812314,2.7117084262466546,5.516639743235414,0.9692111949874894,0.9285859765826461
c_2485,known,612,154,1.78209174051356,2.036587224267041,16.53159163104913,0.9751085690035681,0.9125933535394075
c_24955,known,614,154,1.3019407237130005,2.533677038080039,14.964936174069642,-0.006284205235853303,-0.021758328295213625
c_25276,known,612,154,4.883148140752854,7.930065172069813,19.41377774497971,0.8075209146368438,0.5908049951229031
c_25393,known,612,153,3.8165575055439582,7.752106132753131,15.539705025540353,0.5485313137511968,0.1969069795871049
c_25477,known,613,154,1.1925431756555493,1.4208821424972204,12.980262642548018,0.8972564136549079,0.7198422158839757
c_25608,known,613,154,2.070146582675363,2.8708754053247736,8.091800702252385,0.9598460695381013,0.9158376219254297
c_25679,known,614,154,0.9524072437488874,1.3930858086350244,8.282353765455742,0.8812231171110912,0.674941649745021
c_2568,known,614,154,0.852779138592099,1.5164807258317121,14.987450089535162,0.3614508947793539,0.025612688665297312
c_25832,known,614,154,0.5831238594777636,0.7607232176733265,11.919486216197003,0.43478691360420035,0.11372984922241636
c_25865,known,614,154,1.0738846527408294,1.336624699065784,13.82320140348446,0.30456985357611666,0.0053068355539664935
c_25908,known,613,154,6.461062004905567,7.715028131734748,86.06606141095504,0.8577485377120897,0.5760842464450365
c_25910,known,614,154,1.9842777442352053,2.7041329771960574,15.736086936777854,0.4690879837880926,0.12633271869454765
