container_id,prophet_dominant_freq,remaining_dominant_freq,prophet_dominant_period_steps,remaining_dominant_period_steps,prophet_peak_power,remaining_peak_power
c_12193,0.17647058823529413,0.058823529411764705,5.666666666666666,17.0,0.17980093908990136,0.8838149140468748
c_12231,0.006493506493506494,0.006493506493506494,154.0,154.0,4.438328209993365,14.996927911187797
c_12237,0.013157894736842105,0.013157894736842105,76.0,76.0,5.068634370076095,8.495462616153116
c_12441,0.058823529411764705,0.06535947712418301,17.0,15.299999999999999,0.02018364009431339,0.0722640832322552
c_12517,0.01948051948051948,0.05844155844155845,51.333333333333336,17.11111111111111,0.1204846877761023,1.3812551181274344
c_12624,0.06493506493506494,0.06493506493506494,15.399999999999999,15.399999999999999,0.07732696207982243,0.5747078182410732
c_12767,0.012987012987012988,0.05844155844155845,77.0,17.11111111111111,0.2847608505016779,0.9395753704824645
c_12858,0.07142857142857144,0.05844155844155845,13.999999999999998,17.11111111111111,0.0656275287760042,0.263177572533422
c_1286,0.03896103896103896,0.05844155844155845,25.666666666666668,17.11111111111111,0.6344642090135071,2.2370369131471093
c_12971,0.07142857142857144,0.07142857142857144,13.999999999999998,13.999999999999998,0.3010937721147592,0.39376543027206345
c_12974,0.013071895424836602,0.058823529411764705,76.5,17.0,0.24004679280096272,0.43880909874896945
c_12993,0.06493506493506494,0.07142857142857144,15.399999999999999,13.999999999999998,0.1283167369259726,0.5201085838455644
c_12999,0.07189542483660132,0.058823529411764705,13.909090909090908,17.0,0.0704490147542794,0.5215508725071639
c_13020,0.006493506493506494,0.06493506493506494,154.0,15.399999999999999,0.22691040166020904,0.7879741415208521
c_13044,0.10457516339869281,0.006535947712418301,9.5625,153.0,0.4048757896166403,0.7560991242783943
c_13083,0.006493506493506494,0.006493506493506494,154.0,154.0,0.45689122340583255,0.8069257280219714
c_13166,0.006493506493506494,0.06493506493506494,154.0,15.399999999999999,0.15354014378862266,0.5143121771462952
c_13170,0.03246753246753247,0.06493506493506494,30.799999999999997,15.399999999999999,0.1107744950359599,0.3291007277011882
c_13229,0.006493506493506494,0.06493506493506494,154.0,15.399999999999999,1.19256296195404,0.6504619600090998
c_13269,0.09090909090909091,0.09090909090909091,11.0,11.0,0.6531914096239655,0.9542305140854495
c_13308,0.012987012987012988,0.05844155844155845,77.0,17.11111111111111,0.0007230239205638746,0.2535805946942178
c_13389,0.012987012987012988,0.012987012987012988,77.0,77.0,0.653211710743282,1.8953173406274735
c_13403,0.4480519480519481,0.06493506493506494,2.231884057971014,15.399999999999999,0.036381752671078425,0.624103277271698
c_13441,0.006535947712418301,0.058823529411764705,153.0,17.0,0.15085794923017917,0.36967270637981614
c_13607,0.006493506493506494,0.01948051948051948,154.0,51.333333333333336,0.7669800634200168,0.6415196461136913
c_13615,0.03246753246753247,0.05844155844155845,30.799999999999997,17.11111111111111,0.052830565771141015,0.9934374785760368
c_13658,0.01948051948051948,0.012987012987012988,51.333333333333336,77.0,1.659562649683635,1.8117499435623186
c_13690,0.08441558441558442,0.06493506493506494,11.846153846153847,15.399999999999999,0.06390501457222059,0.4511372120606399
c_1379,0.012987012987012988,0.06493506493506494,77.0,15.399999999999999,0.06696035419535477,0.16449531387991062
c_1387,0.025974025974025976,0.06493506493506494,38.5,15.399999999999999,0.003919235354555517,0.022161233362572086
c_13873,0.006535947712418301,0.006535947712418301,153.0,153.0,2.5218742905747256,1.4744326606012175
c_14106,0.032679738562091505,0.032679738562091505,30.599999999999998,30.599999999999998,0.08202667411579435,0.11694223833368739
c_14135,0.05194805194805195,0.06493506493506494,19.25,15.399999999999999,0.3365488940955133,0.329878851800783
c_14296,0.012987012987012988,0.012987012987012988,77.0,77.0,1.3959096568714169,1.0595921603986946
c_14363,0.01948051948051948,0.06493506493506494,51.333333333333336,15.399999999999999,0.3880845737139461,0.5211574296116727
c_14388,0.012987012987012988,0.06493506493506494,77.0,15.399999999999999,0.013836126562158805,0.41016639868659727
c_14396,0.006493506493506494,0.012987012987012988,154.0,77.0,0.3207674693522492,0.897907752050686
c_14413,0.012987012987012988,0.05844155844155845,77.0,17.11111111111111,0.3563040361048512,0.9735339186284696
c_14416,0.006493506493506494,0.07792207792207792,154.0,12.833333333333334,1.4946376874003344,1.3538076376704051
c_14417,0.01948051948051948,0.01948051948051948,51.333333333333336,51.333333333333336,0.19653889305677463,0.22850768124863882
c_14435,0.01948051948051948,0.06493506493506494,51.333333333333336,15.399999999999999,0.0061076623524084755,0.036916613908323535
c_14471,0.05921052631578947,0.06578947368421052,16.88888888888889,15.200000000000001,0.03377283937185388,0.08661095639290127
c_14820,0.07142857142857144,0.05844155844155845,13.999999999999998,17.11111111111111,0.28785873250661526,0.7185191187450148
c_14855,0.01948051948051948,0.05844155844155845,51.333333333333336,17.11111111111111,0.06242854633392135,0.5376785879914722
c_14886,0.05844155844155845,0.06493506493506494,17.11111111111111,15.399999999999999,0.07434819919901453,0.3903718767069239
