container_id,n_val,ridge_pearson_r,ridge_mae_scaled,ridge_rmse_scaled,prophet_mean,prophet_std,prophet_var,remaining_mean,remaining_std,remaining_var,remaining_std_ratio,var_reduction_fraction
c_10695,154,0.16008307124778448,0.15204132758136557,0.2042533637341205,0.07147772147760884,0.15038521349631762,0.02261571243833303,0.07233001390308204,0.19101781509975163,0.036487805685482905,1.2701901381044285,-0.6133829869377472
c_10733,153,-0.14313891657406225,0.200097965330624,0.2529379173501034,-0.058163105752178305,0.14386820811372775,0.020698061305854876,0.025453094903121688,0.2516539886297462,0.06332972999326042,1.7491980468041546,-2.059693806943469
c_10878,154,0.18908081875536734,0.1064120112399515,0.14371453534522952,0.009988435358175741,0.11680106683151806,0.013642489212980747,0.013617629759749846,0.14306791334615043,0.020468427829221605,1.2248853304783722,-0.500344072821111
c_10898,154,-0.0714125591622132,0.17232828412619258,0.22550359556673713,0.06358804971253935,0.16665316040839231,0.027773275874105344,0.009407625220228904,0.225307275073936,0.05076336820124226,1.3519532094189435,-0.8277774804581817
c_11013,154,0.18218985166451332,0.1111561286958917,0.13883745282533388,0.0456935452401002,0.08717886768343594,0.007600154970566032,0.06336920078897777,0.12353211201300261,0.015260182698393025,1.4169960598888784,-1.007877833740606
c_11087,154,0.02140365348234404,0.17260272565423898,0.2359163403302294,-0.013038997481738392,0.13177937313987304,0.017365803185137894,-0.011336181579640283,0.23564382152308183,0.05552801062200204,1.7881692400597866,-2.197549231095995
c_11203,154,0.26601702156888357,0.08104219607095585,0.11057085648148984,0.023712943821259887,0.07579062197134241,0.0057442183788029315,0.04017688434284702,0.10301326258085276,0.010611732267551719,1.3591821771802275,-0.8473761907643833
c_11307,154,0.09863325531097542,0.20110866366960398,0.30739697325052173,0.02183350888867006,0.2309251422510133,0.05332642132365072,0.087295044134823,0.29474136871684853,0.08687247443308126,1.2763502745684905,-0.6290700233910609
c_11327,153,0.2571061731120713,0.09793340951476967,0.12570107749581869,0.028814724864042802,0.08689415285474,0.00755059380034292,0.04877919136552271,0.11585055620641421,0.013421351373335538,1.3332376506400874,-0.7775226330843001
c_11461,153,0.25648886971883555,0.07890404708136972,0.10172904965604883,0.007962149263942718,0.05259587869351938,0.002766326455543406,0.01102230159644726,0.10113015579657635,0.010227308411439803,1.9227771891761765,-2.6970721192162386
c_11735,154,0.39271096359719526,0.07600983509252185,0.10726455983877357,0.04979958171759393,0.08937245578122349,0.007987435852366748,0.0681811741053141,0.0828070848117882,0.006857013295026683,0.9265392126461559,0.14152508742904146
c_11752,153,-0.05658048383836323,0.14091612311172746,0.18404454984850133,-0.009365630397801687,0.11034678087693431,0.012176412049902155,-0.03033206544932142,0.18152785498241195,0.03295236213451558,1.6450670652990165,-1.7062456493315183
c_1181,153,0.12030523682446671,0.11671781744714199,0.1652233314731123,0.021028106316856015,0.13688709753802547,0.0187380774723849,0.02027661375677369,0.16397441324070217,0.026887608197632563,1.1978807074578537,-0.43491818929972803
c_1186,154,0.46416608507583823,0.10531454321687511,0.13697491831863637,-0.007348128731685914,0.058833990420429826,0.0034614384287912285,0.002713685213843224,0.13694803452754362,0.01875476416095728,2.327702634971859,-4.418199556854936
c_11996,154,0.3505839191891711,0.09446543756350329,0.12086434043230837,0.00032918838316928103,0.08548996449908948,0.007308534030055581,0.020430002920502004,0.11912516009980936,0.014190803768805212,1.39344028036271,-0.9416758149373075
c_12060,154,0.013839308047688011,0.24024837403927773,0.34402005265404273,0.031416297928154396,0.23739325957405147,0.056355559691192984,0.06665557820855755,0.33750086003116087,0.11390683052177322,1.4216952100355749,-1.0212172702380977
c_12158,153,0.4782342583814277,0.06238067238615313,0.08063288714248495,-0.018860606253876852,0.05806044839593136,0.0033710156679366086,-0.022106726404033616,0.07754324687959564,0.006012955136629919,1.3355605928291376,-0.7837220971181178
c_12164,154,0.21043638963430364,0.0748167340289294,0.09658101464726057,0.004486115204629732,0.07402495055553099,0.0054796933047488085,0.0067526196546716395,0.09634466522902917,0.009282294518093702,1.3015161037730743,-0.693944168380644
c_12174,154,0.11649874876730865,0.16985785461066588,0.21975148682122336,0.05404615347037619,0.14231668017910043,0.02025403745720036,0.11660415341038376,0.18626375752568183,0.03469418736758599,1.3087977972172733,-0.7129516740007873
c_12189,154,-0.27433767503908824,0.04988279454678512,0.06266436491028636,-0.011356642140371053,0.037754175773514254,0.0014253777883374103,0.011697263041099616,0.06156294881628765,0.003789996666956853,1.6306262169673957,-1.6589418594614003
c_12193,153,-0.11412401661845953,0.1490358304719858,0.20936121913615108,0.030018980477892684,0.1267769715451006,0.016072400514147246,0.06817592721240595,0.19794990029526208,0.039184163026904195,1.5614026576178457,-1.4379782592160715
c_12231,154,-0.4341870431333068,0.3851707691952422,0.48151516317673226,-0.05403466422853445,0.2759725507875462,0.07616084878818476,0.045163094251660006,0.4793924772946805,0.22981714728673075,1.7371020267292252,-2.0175234512667815
c_12237,152,-0.43388055085346067,0.511879280949718,0.6153304720625241,-0.423027199565721,0.2836708535609303,0.08046915315998678,-0.41211940949599674,0.45693454910452946,0.20878918216535963,1.6107913215919571,-1.594648681715964
c_12441,153,0.09276167611817268,0.04743151048466479,0.06609222114791444,0.023452171779413895,0.040375659163080474,0.001630193852853244,0.039793946098728876,0.052769532404184596,0.002784623550156288,1.3069639851833574,-0.7081548585663633
c_12517,154,0.4408168878593355,0.1347387774734626,0.16718467767923115,0.049431594871735395,0.06873264579758935,0.004724176598336877,0.06791787674266743,0.15276739989106392,0.02333787846947624,2.2226323185775265,-3.940094423585313
c_12624,154,0.20505808377156942,0.1034199287819978,0.13845057956912465,-0.005074734376629579,0.08511470562989042,0.007244513114462899,-0.008850280533497342,0.1381674184368548,0.019090235517504918,1.623308421433739,-1.6351302310976976
c_12767,154,0.05162150368032886,0.1622629886931207,0.20068373243828114,0.017929550710629245,0.1271403747174266,0.016164674883287645,0.024194916748727736,0.1992198947617475,0.039688566468881754,1.5669286424907891,-1.4552653706580276
c_12858,154,0.08521524924443447,0.0772408538483996,0.1062315226998568,0.011588725451293044,0.07454282805282149,0.005556633214112511,0.027849965037893634,0.10251592979882831,0.010509515862518295,1.3752621476365898,-0.8913459747220054
c_1286,154,0.0430510744435535,0.21093220282954744,0.2898699433993109,0.011869849180870945,0.18407174760069178,0.033882408264772776,0.022710744973690206,0.288978902602006,0.08350880614905967,1.5699253490486225,-1.464665601585439
c_12971,154,0.17802290982662486,0.10565292485533762,0.14889364789395648,0.012107436441993333,0.12930489803391051,0.016719756655559997,-0.007039540737659848,0.1487271436200276,0.022119763249372315,1.1502050261160528,-0.3229716021026299
c_12974,153,0.0590997088304858,0.15626124247715747,0.2021239032950389,0.03353965774578122,0.13029321807729274,0.016976322676936963,0.09355191906243653,0.17917061902822565,0.03210211072295757,1.3751338839596223,-0.8909931988138762
c_12993,154,0.15614819720089296,0.12699888111335986,0.16735337295351468,-0.025232281385665512,0.10616167756231742,0.011270301782845452,-0.005734462146831033,0.16725509673192246,0.027974267382804736,1.575475261623884,-1.4821222999888457
c_12999,153,0.3049993234705118,0.09991400209330706,0.12489370424873714,-0.00675503120053308,0.07876740920107449,0.0062043047522495134,0.006339219576504618,0.12473272087199846,0.015558251656131882,1.5835574908092438,-1.5076543266980686
c_13020,154,0.1428320644625803,0.1509770412219447,0.18124057387719592,0.08048801997965606,0.09448736694177116,0.00892786251158891,0.09474258343037868,0.15450562612498306,0.02387198850427305,1.6351987691666632,-1.67387501468417
c_13044,153,0.0904268818120236,0.17087404709282494,0.21929227560963255,-0.00789240796793812,0.15904615438435302,0.025295679224451452,0.003357510573008097,0.21926657124332288,0.04807782926480319,1.3786348503179802,-0.9006340505112793
c_13083,154,0.1918908948287246,0.14195756753317673,0.18098923979818987,0.08072282390209203,0.135112334109291,0.01825534282846068,0.09282498641373887,0.15537254204014256,0.024140626820015866,1.1499508395322613,-0.32238693334095236
c_13166,154,0.019295225988582684,0.11376269322352206,0.1420599555751578,-0.05882785047618901,0.07253478134952414,0.005261294505423274,-0.03585163902465001,0.13746159811839087,0.018895690957262,1.8951128763455312,-2.591452814090632
c_13170,154,0.246899245572184,0.10854202947724229,0.1346163624433055,0.060188368492369713,0.07146088962552306,0.005106658746071189,0.06806192026880083,0.11614275718610606,0.013489140046790792,1.6252632425195048,-1.6414806074850148
c_13229,154,0.19164733832036862,0.16296206147339273,0.2572293238882377,0.05949197670010385,0.23615829651727596,0.05577074101394164,0.07640069509434605,0.24562137296477413,0.06032985885710067,1.0400709040802465,-0.08174748551430122
c_13269,154,0.014374913642482952,0.19598263457415832,0.2531240893655013,0.031254031277288104,0.19561238138017212,0.03826420374922191,0.054682081737253085,0.24714707069677086,0.06108167455399465,1.2634531053350924,-0.5963137493808879
