sample_quantile,theoretical_quantile
-3.4335798535196935,-4.254563315644659
-3.431909247428491,-4.249372881688249
-3.430378644000432,-4.244198792985736
-3.4288138794091765,-4.239040928156644
-3.4185119470263414,-4.233899167193632
-3.410022209305484,-4.228773391441641
-3.400346690041782,-4.223663483577423
-3.392314547417307,-4.218569327589469
-3.390943983243871,-4.213490808758307
-3.3904670177973633,-4.208427813637181
-3.3742258019543754,-4.203380230033082
-3.3700973100882057,-4.198347946988133
-3.3592185498514096,-4.193330854761335
-3.3439487824249183,-4.188328844810627
-3.3319151066089567,-4.183341809775303
-3.3299746739440277,-4.178369643458734
-3.3271170663680483,-4.17341224081141
-3.313727480792229,-4.168469497914301
-3.3135051662668245,-4.16354131196251
-3.312643936962151,-4.15862758124922
-3.2988535594447024,-4.153728205149953
-3.296696797984437,-4.148843084107071
-3.2949699975727444,-4.143972119614603
-3.2925539695962773,-4.139115214203305
-3.286150256472559,-4.134272271426003
-3.2857837670672447,-4.129443195843193
-3.274309488425692,-4.124627893008899
-3.268922886558958,-4.119826269456769
-3.268892056007657,-4.11503823268642
-3.263848690906934,-4.110263691150029
-3.2619846919900306,-4.105502554239152
-3.2512702430214384,-4.100754732271765
-3.2499357439415832,-4.09602013647954
-3.2460627626608463,-4.091298678995328
-3.2426369001845083,-4.086590272840873
-3.240941866307201,-4.081894831914719
-3.22798530037908,-4.077212270980337
-3.222726579852709,-4.07254250565444
-3.2155912094205688,-4.067885452395517
-3.2153877036318157,-4.063241028492526
-3.2112670569459105,-4.058609152053818
-3.208515476597494,-4.053989741996216
-3.203653078380863,-4.049382718034284
-3.200297064325265,-4.044788000669787
-3.1979878501343775,-4.040205511181307
-3.197470192861035,-4.035635171614041
-3.1974235239192166,-4.031076904769772
-3.191318041389947,-4.026530634196983
-3.1866536082805363,-4.021996284181165
-3.182866931276242,-4.0174737797352575
-3.1795130139563286,-4.012963046590248
-3.179355048919285,-4.008464011185937
-3.1766914040130723,-4.0039766006618365
-3.172154014262875,-3.9995007428482237
-3.1699103124636867,-3.9950363662573385
-3.142892930049197,-3.990583400074718
-3.141634044100451,-3.986141774150662
-3.132021666744139,-3.9817114189918628
-3.1304580528573958,-3.977292265753117
-3.1284813666290185,-3.9728842462292335
-3.1260943401992596,-3.9684872928469974
-3.116435028237424,-3.9641013386573234
-3.1151572578489115,-3.9597263173274926
-3.1085496836350894,-3.9553621631335143
-3.1024818206294675,-3.9510088109526333
-3.0970960699099006,-3.9466661962559155
-3.0958511886921793,-3.9423342551009717
-3.0917481821326325,-3.938012924124791
-3.0719884624514013,-3.933702140536679
-3.071542541836601,-3.9294018421113033
-3.071122751236772,-3.925111967181848
-3.062195992917626,-3.9208324546332736
-3.060711129679071,-3.9165632438956712
-3.0575227201509945,-3.9123042749377324
-3.049758643672679,-3.908055488260296
-3.04653319699907,-3.9038168248900065
-3.0448818804450517,-3.8995882263730706
-3.026681345579316,-3.8953696347690987
-3.0246169952202444,-3.891160992645021
-3.0211551783747876,-3.8869622430691417
-3.020860937723086,-3.8827733296052274
-3.018793927541434,-3.878594196306723
-2.9992806781546717,-3.8744247877110234
-2.9961174130155896,-3.8702650488338475
-2.987028918554708,-3.8661149251636897
-2.981001932695532,-3.861974362656349
-2.97937286651856,-3.85784330772954
-2.974360317538824,-3.853721707257582
-2.9705140418361378,-3.8496095085661612
-2.9687257073479976,-3.8455066594271767
-2.9613806126136066,-3.8414131080536467
-2.954574296198855,-3.8373288030947044
-2.953086718291614,-3.833253693630652
-2.949451969766583,-3.829187729168083
-2.9488230842129703,-3.8251308596350975
-2.9466638992351766,-3.821083035376548
-2.946459013243219,-3.8170442071493818
-2.9446433886495114,-3.813014326118044
