container_id,threshold,day1_steps,peak_steps,peak_fraction,prophet_peak_mae,hybrid_peak_mae,mean_residual_correction_at_peaks,peak_error_reduction,contribution_ratio
c_14135,29.0,96,29,0.3020833333333333,3.6596361665073607,3.653461567372607,0.04587257462280192,0.006174599134753489,0.0016872166668541611
c_14296,6.5,96,66,0.6875,5.209247104212032,5.215742971155298,0.04925643302483493,-0.00649586694326576,-0.0012469876765902328
c_14363,3.6666666666666665,96,14,0.14583333333333334,1.6376712217699476,1.6437941672701528,0.018085729567766457,-0.006122945500205201,-0.0037388124177865807
c_14388,11.000000000000002,96,23,0.23958333333333334,0.5477220391788693,0.5781675604424027,0.053459842042565986,-0.030445521263533393,-0.055585715172565504
c_14396,25.145454545454555,96,20,0.20833333333333334,1.6709069091186894,1.690225436113592,0.14749241599347443,-0.019318526994902552,-0.011561701546312956
c_14413,3.0,96,38,0.3958333333333333,0.9035796157737284,0.9040895401615389,0.012766921829193291,-0.0005099243878105009,-0.0005643380825649287
c_14416,2.6623188405797107,96,12,0.125,1.0531911521488728,1.0475380082302654,0.005653143918607384,0.005653143918607384,0.005367633318104717
c_14417,13.499999999999998,96,6,0.0625,3.6375957231489,3.637030613347751,0.03156281001429306,0.0005651098011489886,0.0001553525581616307
c_14435,5.0,96,21,0.21875,0.6740063798079419,0.6566508331311665,0.03510529058431045,0.017355546676775413,0.02574982551607431
c_14471,28.0,96,13,0.13541666666666666,4.892963885689124,4.899595010525725,0.03750942405251688,-0.00663112483660111,-0.0013552368240435488
c_14820,38.24999999999999,96,7,0.07291666666666667,6.1855281593401585,6.136922795626,0.1292634954879759,0.04860536371415858,0.00785791648862909
c_14855,8.948148148148153,96,17,0.17708333333333334,1.2471376508627432,1.254403383143982,0.019961697802714565,-0.007265732281238835,-0.005825926493529047
c_14886,38.908212560386474,96,21,0.21875,1.6876196205169538,1.7280720630841047,0.16061053646262735,-0.04045244256715086,-0.023970118666171596
c_1494,1.6666666666666667,96,14,0.14583333333333334,0.8542427989877046,0.8536759743136804,0.00601681116677355,0.0005668246740242466,0.0006635404766606703
c_14964,14.0,96,28,0.2916666666666667,3.0326484273877843,3.0859502983225586,0.05839279037445522,-0.05330187093477434,-0.017576013906988448
c_15030,21.5,96,42,0.4375,5.015571942690896,5.011954113887516,0.12401203651647631,0.0036178288033799078,0.0007213192921401727
c_15035,0.0,96,96,1.0,0.016287497934569628,0.016180087653978048,0.00029832522633436537,0.00010741028059157998,0.006594645845732113
c_15072,11.500000000000002,96,6,0.0625,5.881081464185404,5.877900929601695,0.0426750779620814,0.0031805345837092602,0.0005408077754198904
c_15179,17.5,96,13,0.13541666666666666,2.058894968368604,1.9945749789149074,0.09008413146008205,0.06431998945369655,0.031240053738467992
c_15235,27.0,96,14,0.14583333333333334,1.5569966406835432,1.5794351803542777,0.03527078450185529,-0.022438539670734503,-0.014411424587842189
c_15282,2.0,96,10,0.10416666666666667,0.8991994496951007,0.8974744862417934,0.006784934546158183,0.0017249634533073044,0.0019183324165647595
c_15420,7.0,96,14,0.14583333333333334,2.123463673067598,2.117970712066681,0.021010910693023823,0.00549296100091734,0.002586793016798869
c_15446,0.0,96,96,1.0,0.12410240266874219,0.12305337341117493,0.005039822457320042,0.0010490292575672522,0.008452932699194811
c_15486,5.0,96,25,0.2604166666666667,1.7832220874528115,1.7877021702797333,0.014580671879230067,-0.004480082826921805,-0.002512352700454289
c_15527,46.775,96,10,0.10416666666666667,13.80082538344399,13.776409582193846,0.05838253433466889,0.024415801250142977,0.0017691551462880712
c_15555,5.0,96,17,0.17708333333333334,1.680184152956176,1.6654293008439305,0.021695084510343698,0.014754852112245587,0.008781687463416062
c_15570,6.808333333333337,96,23,0.23958333333333334,1.040765167279957,1.0259064575659054,0.052874881910848555,0.014858709714051566,0.014276716959008968
c_15604,2.0,96,45,0.46875,1.3265605022858484,1.3314186120327527,0.024596708621053644,-0.00485810974690426,-0.0036621848295144174
c_15616,9.0,96,48,0.5,1.3951282726631196,1.4068861940449626,0.01956708990081779,-0.011757921381843062,-0.008427842523324906
c_15630,11.0,96,9,0.09375,0.7646751889417813,0.7687348953133435,0.007397288511533083,-0.004059706371562166,-0.005309059886172471
c_15640,28.0,96,2,0.020833333333333332,29.19339688210744,29.175052180072047,0.023893921916169347,0.018344702035392402,0.0006283853197856473
c_15642,6.0,96,17,0.17708333333333334,0.7513898801508612,0.7528258464785175,0.008018388470244484,-0.0014359663276563017,-0.0019110802069466173
c_15647,10.5,96,5,0.052083333333333336,1.2220917676792804,1.2321920306930179,0.0593504477001261,-0.010100263013737454,-0.008264733697468222
c_15794,0.0,96,96,1.0,0.021030964172530656,0.01980250543504263,0.002389162665066478,0.0012284587374880272,0.05841190767147823
c_15856,2.0,96,29,0.3020833333333333,1.0359878121995463,1.0379109007131957,0.007668652165726786,-0.001923088513649418,-0.001856284881929676
c_16008,18.0,96,70,0.7291666666666666,14.520892913969918,14.530537673829874,0.062425518674938625,-0.009644759859956054,-0.0006641988145699532
c_16048,24.999999999999996,96,21,0.21875,5.645996691900815,5.561799348756995,0.11926911736407506,0.08419734314381966,0.014912751058568771
