container_id,series,ar_order,n_forecasts,forecast_pearson_r,forecast_mae,residual_avg_abs_acf_1_10,residual_lb_reject_lag_20
c_12237,remaining_corr_z,5,99,0.9812487465344972,0.34671551240277454,0.05551901573609767,0.0
c_12441,prophet_z,1,104,0.27600103796707603,0.20191137296471415,0.15426813728623226,1.0
c_12441,remaining_corr_z,1,104,0.3255870775568137,0.19430741846220037,0.13089917950395086,1.0
c_12441,prophet_z,2,103,0.25630877123973006,0.2029373631675033,0.15590877972141964,1.0
c_12441,remaining_corr_z,2,103,0.30157346401673346,0.19562018699389783,0.13306295108988575,1.0
c_12441,prophet_z,5,100,0.2706108614590639,0.2064734643455615,0.14603796734554403,1.0
c_12441,remaining_corr_z,5,100,0.32209640965780995,0.19862208355619282,0.12279114160975109,1.0
c_12517,prophet_z,1,105,0.6738815767642761,0.3941770020722939,0.08339718580044071,0.0
c_12517,remaining_corr_z,1,105,0.6051453660941684,0.3820721726122511,0.07412065297448958,0.0
c_12517,prophet_z,2,104,0.6698612319731192,0.39426815015836014,0.08146523371021971,0.0
c_12517,remaining_corr_z,2,104,0.5978974155357062,0.38228537688645814,0.08246972067390362,0.0
c_12517,prophet_z,5,101,0.6432654556663726,0.4171254392754509,0.08043564068773364,0.0
c_12517,remaining_corr_z,5,101,0.5899416909541535,0.38907433295684274,0.08200975509250272,0.0
c_12624,prophet_z,1,105,0.20751033450713086,0.5161667289829031,0.08977985207974636,0.0
c_12624,remaining_corr_z,1,105,0.19487744113401806,0.5113202439783949,0.08660704830160644,0.0
c_12624,prophet_z,2,104,0.20980258528764079,0.5096782919998047,0.08585554050954612,0.0
c_12624,remaining_corr_z,2,104,0.18535494220428972,0.5085843800202675,0.08888372226156067,0.0
c_12624,prophet_z,5,101,0.1323206001611074,0.5354016663698218,0.10201956079561673,0.0
c_12624,remaining_corr_z,5,101,0.10734753589803495,0.5307152028362022,0.103419649264431,0.0
c_12767,prophet_z,1,105,0.2792509994498711,0.8899560520857778,0.0849079885193031,1.0
c_12767,remaining_corr_z,1,105,0.2642824545061552,0.9139732083927631,0.08469245524852723,1.0
c_12767,prophet_z,2,104,0.2510078401752741,0.9291558609600842,0.09359326983373774,1.0
c_12767,remaining_corr_z,2,104,0.2383302882550526,0.9565257264309134,0.09434612193212197,1.0
c_12767,prophet_z,5,101,0.2459650211151779,0.9316995201186942,0.07244685792520253,1.0
c_12767,remaining_corr_z,5,101,0.24407297908835546,0.9537036200489377,0.07794691506724802,1.0
c_12858,prophet_z,1,105,0.4014088911123149,0.4751297569010321,0.10226033201998079,0.0
c_12858,remaining_corr_z,1,105,0.398265340088802,0.46038434835620845,0.10008136382730279,0.0
c_12858,prophet_z,2,104,0.33948314719278605,0.4783586412030512,0.12265404969973312,0.0
c_12858,remaining_corr_z,2,104,0.34168210193988624,0.4588888685639414,0.11878922229620689,0.0
c_12858,prophet_z,5,101,0.3115242715573227,0.5157792797310138,0.1465008151854658,1.0
c_12858,remaining_corr_z,5,101,0.3120840098025349,0.5007577374740221,0.14038213021530127,1.0
c_1286,prophet_z,1,105,0.2061143554330569,1.1081663842307492,0.11358104337661319,1.0
c_1286,remaining_corr_z,1,105,0.21287672194820312,1.131028863125827,0.10398328178667937,1.0
c_1286,prophet_z,2,104,0.22476428478848706,1.1276531949342297,0.08802892649751035,0.0
c_1286,remaining_corr_z,2,104,0.22487186520543107,1.1474207121038642,0.09031718141553881,0.0
c_1286,prophet_z,5,101,0.24984013918383838,1.1921085993125466,0.09095126884639308,0.0
c_1286,remaining_corr_z,5,101,0.24930634431997792,1.1993568242917594,0.09493634313037666,0.0
c_12971,prophet_z,1,105,0.13577650320059514,0.821431482774341,0.0731440926984982,0.0
c_12971,remaining_corr_z,1,105,0.09043632318534083,0.7854468475866999,0.06516966060262945,0.0
c_12971,prophet_z,2,104,0.13330757141381216,0.8399742403976327,0.07440553522571866,0.0
c_12971,remaining_corr_z,2,104,0.08889963620821148,0.8043972813188598,0.06865615986341564,0.0
c_12971,prophet_z,5,101,0.11594364699288826,0.8674429211694823,0.08010029512463528,0.0
c_12971,remaining_corr_z,5,101,0.07529555454958423,0.8373319804075535,0.08365620567975979,0.0
c_12974,prophet_z,1,104,0.16716524606356475,0.866635903457073,0.1060053841235058,0.0
c_12974,remaining_corr_z,1,104,0.1676384889345949,0.8849802698987622,0.10500900519707732,0.0
c_12974,prophet_z,2,103,0.12494973180215521,0.875535529385757,0.11128014902931187,0.0
c_12974,remaining_corr_z,2,103,0.1255818344866209,0.9043615162816162,0.1151298954099563,0.0
c_12974,prophet_z,5,100,0.13396422257209326,0.9036096986582975,0.0853495024025541,0.0
c_12974,remaining_corr_z,5,100,0.13226961711653484,0.9239663636255573,0.08990237566711493,0.0
c_12993,prophet_z,1,105,0.4030713244136369,0.7056817034938013,0.08451619062674032,0.0
c_12993,remaining_corr_z,1,105,0.3257645492731548,0.7227910639593897,0.09059916384035122,0.0
c_12993,prophet_z,2,104,0.38128870025677253,0.7060739543349513,0.08870095070216462,0.0
c_12993,remaining_corr_z,2,104,0.28766704218354006,0.7302045367617005,0.09142283867372106,0.0
c_12993,prophet_z,5,101,0.3769682176094016,0.7070210889421608,0.07047242001868996,0.0
c_12993,remaining_corr_z,5,101,0.3073042052975459,0.7196250871812151,0.06886922079236943,0.0
c_12999,prophet_z,1,104,0.24379032476305107,0.4968267212629422,0.06268671031167625,0.0
c_12999,remaining_corr_z,1,104,0.19378793083095475,0.47744349801958236,0.061288016935955945,0.0
c_12999,prophet_z,2,103,0.21757562590319962,0.4992225885352607,0.07153878009463209,0.0
c_12999,remaining_corr_z,2,103,0.15652145732519254,0.4848750369712725,0.06276824853804616,0.0
c_12999,prophet_z,5,100,0.12790634076508894,0.5226792342123229,0.07133320283809844,0.0
c_12999,remaining_corr_z,5,100,0.03841993287601418,0.5121699521145552,0.06719283651905203,0.0
c_13020,prophet_z,1,105,0.6850527116901511,0.531090751200153,0.14442481025836798,1.0
c_13020,remaining_corr_z,1,105,0.7241022230656788,0.5481331668674556,0.17309760363883767,1.0
c_13020,prophet_z,2,104,0.7012364563382076,0.5115090242005746,0.12216539394570099,0.0
c_13020,remaining_corr_z,2,104,0.7395073537111683,0.5178570279344863,0.13748987739401858,1.0
c_13020,prophet_z,5,101,0.6706058317867005,0.5437246316050113,0.1502184486635984,1.0
c_13020,remaining_corr_z,5,101,0.7184891670251997,0.5470104894976694,0.1656210711977784,1.0
c_13044,prophet_z,1,104,0.38136562675231445,0.9763769982581068,0.055746377736972844,0.0
c_13044,remaining_corr_z,1,104,0.3612768805514105,0.9875034694239435,0.06258606145463391,0.0
c_13044,prophet_z,2,103,0.39140902381985443,0.9872923675527647,0.05186220169549349,0.0
c_13044,remaining_corr_z,2,103,0.3795989018286476,0.994569108000412,0.055422582797678,0.0
c_13044,prophet_z,5,100,0.3394813810838073,1.0268044604662547,0.08972198229560449,0.0
c_13044,remaining_corr_z,5,100,0.3170028729819707,1.0444338074328758,0.09776442499080709,0.0
c_13083,prophet_z,1,105,0.5243297858646192,0.7812882495067118,0.1098065987476737,1.0
c_13083,remaining_corr_z,1,105,0.5194854519395993,0.7938461169762984,0.10791045004685214,0.0
c_13083,prophet_z,2,104,0.5321199080507109,0.7860770127132413,0.11571029419559183,1.0
c_13083,remaining_corr_z,2,104,0.5238214128119928,0.7948927157676049,0.10889700235767544,0.0
c_13083,prophet_z,5,101,0.483772992863771,0.8098659953732673,0.144838989183643,1.0
c_13083,remaining_corr_z,5,101,0.46572823660003837,0.8081864238627846,0.146223482360667,1.0
c_13166,prophet_z,1,105,0.4087144291947012,0.53429693534605,0.07990692022684653,0.0
c_13166,remaining_corr_z,1,105,0.5388424369645404,0.548162500650377,0.07430938500798298,0.0
c_13166,prophet_z,2,104,0.3883345445751104,0.5476676521452095,0.06302480668380346,0.0
c_13166,remaining_corr_z,2,104,0.5170229314329616,0.5583164396975163,0.05796844075925025,0.0
c_13166,prophet_z,5,101,0.30544458416958875,0.5357631350163237,0.08571326589266505,0.0
c_13166,remaining_corr_z,5,101,0.44819695713014596,0.518707406995538,0.07588062278721976,0.0
c_13170,prophet_z,1,105,0.3188335733628048,0.4156971432961869,0.16254719374958798,1.0
c_13170,remaining_corr_z,1,105,0.32015413549400273,0.40922983123827317,0.14383474658144027,1.0
c_13170,prophet_z,2,104,0.33028324372300727,0.44556852714666334,0.056772767771699074,0.0
c_13170,remaining_corr_z,2,104,0.3472085720591941,0.4329855211256583,0.07015147908799718,0.0
c_13170,prophet_z,5,101,0.34495132560651837,0.44200895544403684,0.06671864114479366,0.0
