container_id,threshold_treatment,day1_steps_treatment,peak_steps_treatment,non_peak_steps_treatment,peak_fraction_treatment,peak_mae_treatment,peak_rmse_treatment,non_peak_mae_treatment,non_peak_rmse_treatment,overall_mae_treatment,overall_rmse_treatment,threshold_baseline,day1_steps_baseline,peak_steps_baseline,non_peak_steps_baseline,peak_fraction_baseline,peak_mae_baseline,peak_rmse_baseline,non_peak_mae_baseline,non_peak_rmse_baseline,overall_mae_baseline,overall_rmse_baseline,delta_peak_mae,delta_peak_rmse,delta_non_peak_mae,delta_non_peak_rmse
c_12441,16.666666666666668,96,18,78,0.1875,4.21673857654544,6.4235710411026945,1.3738302132463893,2.2073158756214912,1.9068755313649615,3.4198497649046864,16.666666666666668,96,18,78,0.1875,4.05010830099551,6.321790516004553,1.3135542157874895,2.1628333641537436,1.8266581067639935,3.360683822518409,0.16663027554993004,0.10178052509814162,0.06027599745889978,0.04448251146774762
c_12517,22.733333333333338,96,29,67,0.3020833333333333,1.8644807552938691,1.954418839098117,0.8573839903926047,1.0760392242204717,1.1616111381231953,1.4007047503255352,22.733333333333338,96,29,67,0.3020833333333333,1.7975338481994705,1.8929003511137519,0.8397495270260139,1.069538213809042,1.1290802073804957,1.3714012899737709,0.06694690709439866,0.0615184879843651,0.017634463366590802,0.006501010411429808
c_12624,2.5,96,20,76,0.20833333333333334,0.641338897368752,0.6797355011348772,0.173615958721129,0.2678979697345398,0.27105823760605047,0.391249008469739,2.5,96,20,76,0.20833333333333334,0.6282421715347618,0.6698271571171888,0.1856615592201338,0.2797871577885036,0.27786585345234793,0.3942650505298057,0.013096725833990241,0.009908344017688475,-0.0120456004990048,-0.011889188053963828
c_12767,5.666666666666667,96,9,87,0.09375,1.3052638677446415,1.3288165758498391,0.43958051195463255,0.5115878489539287,0.5207383265599458,0.6346062304069401,5.666666666666667,96,9,87,0.09375,1.3226143616813892,1.3533514830755815,0.4398761942477161,0.5185576649335124,0.5226328974446229,0.6445162966860847,-0.017350493936747702,-0.024534907225742364,-0.00029568229308357674,-0.006969815979583682
c_12858,3.0,96,9,87,0.09375,1.0031544791048514,1.0849551679415697,0.23209150495454112,0.2685057963014779,0.30437865878113274,0.41915646937132073,3.0,96,9,87,0.09375,0.9800768236267329,1.0591041795601388,0.24097115617900783,0.2767669753944546,0.3102623125022321,0.41782561370168647,0.023077655478118575,0.02585098838143085,-0.008879651224466711,-0.00826117909297669
c_1286,3.0,96,11,85,0.11458333333333333,1.1918777319881484,1.2766417874982425,0.2902614104649359,0.37395022313471443,0.39357161397280405,0.5572837041826793,3.0,96,11,85,0.11458333333333333,1.1927178692387825,1.2769807877177108,0.28989891358254305,0.37345293432864624,0.3933469189181538,0.5570774020285941,-0.0008401372506341431,-0.0003390002194683106,0.0003624968823928709,0.0004972888060681968
c_12971,5.0,96,22,74,0.22916666666666666,2.115444294118259,2.4935705775402273,0.618524718064299,0.6978456155479245,0.961568787576665,1.3417604348165557,5.0,96,22,74,0.22916666666666666,2.106307124793652,2.4856138394927334,0.6264725239155009,0.709440064562658,0.965601286616744,1.343063431910597,0.009137169324607175,0.007956738047493861,-0.007947805851201917,-0.011594449014733499
c_12974,3.7453703703703694,96,9,87,0.09375,1.4875250060698355,1.531199708275578,0.47164767399325136,0.5650265219871884,0.5668861738754312,0.7135324052248097,3.7453703703703694,96,9,87,0.09375,1.4871702902011084,1.5304139107101753,0.46604544300371453,0.5596040100000993,0.5617758974284702,0.7094902000407403,0.0003547158687271512,0.0007857975654026461,0.005602230989536827,0.005422511987089096
c_12993,15.066666666666672,96,5,91,0.052083333333333336,8.978446692570223,10.355080509337848,4.977246405756162,5.671487630397347,5.185642254027727,6.006267307010795,15.066666666666672,96,5,91,0.052083333333333336,9.107365961342229,10.410909948123436,4.866959047647026,5.554006349132176,5.087813574401984,5.906397488126685,-0.12891926877200532,-0.05582943878558844,0.1102873581091357,0.11748128126517088
c_12999,32.65833333333333,96,12,84,0.125,3.0043973160091952,3.697514611614941,1.208330750915027,1.5582171779218015,1.432839071551798,1.957929381965169,32.65833333333333,96,12,84,0.125,2.9074583566232675,3.6263012581410554,1.2280735972873433,1.6056533549985639,1.4379966922043337,1.974744277423105,0.09693895938592778,0.07121335347388547,-0.01974284637231638,-0.0474361770767624
