container_id,threshold,day1_steps,peak_steps,non_peak_steps,peak_fraction,peak_mae,peak_rmse,non_peak_mae,non_peak_rmse,overall_mae,overall_rmse
c_15555,5.0,96,17,79,0.17708333333333334,1.6654293008439305,1.6783672518184725,1.4740054317306435,1.7953702387748744,1.507903408552788,1.7752129332127817
c_15570,6.808333333333337,96,23,73,0.23958333333333334,1.0259064575659054,1.184486754863402,0.5017389384171578,0.6209218419246044,0.6273207398798786,0.793291608007338
c_15604,2.0,96,45,51,0.46875,1.3314186120327527,2.7254243063223966,0.19534799299463973,0.25457110027606694,0.7278810956687553,1.875173111250514
c_15616,9.0,96,48,48,0.5,1.4068861940449626,1.9174507858520768,0.48784650093488136,0.6935227199179596,0.9473663474899222,1.4418029128849672
c_15630,11.0,96,9,87,0.09375,0.7687348953133435,0.8264247659919844,1.2190507599066325,1.562861932520334,1.176833647601012,1.509164906341514
c_15640,28.0,96,2,94,0.020833333333333332,29.175052180072047,29.35734584496766,3.500587396417025,5.056833534722985,4.035472079409838,6.55698947809748
c_15642,6.0,96,17,79,0.17708333333333334,0.7528258464785175,0.8361491407706251,0.3483431863104814,0.47077722233937985,0.4199703240485711,0.5533452791902751
c_15647,10.5,96,5,91,0.052083333333333336,1.2321920306930179,1.3549085022758827,1.3453688455258777,1.6075441178170764,1.3394742197533331,1.595373883503916
c_15794,0.0,96,96,0,1.0,0.01980250543504263,0.023307777179183534,,,0.01980250543504263,0.023307777179183534
c_15856,2.0,96,29,67,0.3020833333333333,1.0379109007131957,1.1497070793700774,0.36756360867394394,0.40994079101413317,0.5700643531441346,0.7187403041045665
c_16008,18.0,96,70,26,0.7291666666666666,14.530537673829874,15.390689776240967,3.241854934593569,3.4691591547280325,11.473186098620042,13.265731589267828
c_16048,24.999999999999996,96,21,75,0.21875,5.561799348756995,6.500080087148283,2.4897137324422762,3.204085676664314,3.161732461011121,4.154859404813412
