container_id,day1_mae_treatment,day1_rmse_treatment,day1_mape_treatment,train_steps_treatment,validation_steps_treatment,day1_mae_baseline,day1_rmse_baseline,day1_mape_baseline,train_steps_baseline,validation_steps_baseline,delta_day1_mae,delta_day1_rmse,delta_day1_mape
c_13308,0.0028136634366987,0.0031140594478583,28.136634366987497,614,154,0.0034893799599411,0.0036901197358387,34.89379959941172,614,154,-0.0006757165232424002,-0.0005760602879803997,-6.757165232424224
c_13389,7.047551228651298,8.010066743016186,69.50664888059718,613,154,7.303697650318969,8.25280660481358,71.52689312639038,613,154,-0.25614642166767077,-0.2427398617973946,-2.0202442457931937
c_13403,0.3559951559329627,0.4635585214005223,16.472419803997767,613,154,0.3621327608287283,0.4677154010833438,16.805453404329064,613,154,-0.0061376048957655915,-0.004156879682821524,-0.3330336003312979
c_13441,0.8656794736035618,1.186261106249824,6.596133546349751,610,153,0.8516851662629631,1.168539401814063,6.532313337521618,610,153,0.0139943073405987,0.017721704435761154,0.06382020882813322
c_13607,1.988418572477099,4.2403550540916894,26.84499760828865,614,154,1.9487738511850403,4.213097224270485,26.004437193332347,614,154,0.03964472129205876,0.027257829821204282,0.840560414956304
c_13615,4.833548224760782,5.398826260188814,98.7487197449716,614,154,5.11771195099985,5.679948497248,105.11289714273772,614,154,-0.2841637262390684,-0.2811222370591855,-6.364177397766127
c_13658,1.2006275601304994,2.7773636581001275,16.89178823695109,613,154,1.198094241714626,2.786390005592991,16.68487532056413,613,154,0.0025333184158733424,-0.009026347492863351,0.2069129163869583
c_13690,0.9002143307456677,1.8182883468907152,25.47966714044147,614,154,0.8677710262455225,1.8019900280088412,24.175645900219138,614,154,0.03244330450014521,0.01629831888187394,1.3040212402223332
c_1379,0.4251152450376685,0.5386096844577398,16.433217898735357,614,154,0.4154447102658969,0.5314688705224896,16.114780778487262,614,154,0.0096705347717716,0.007140813935250234,0.31843712024809534
c_1387,0.3938195695480228,0.5407038231350797,12.511176201198673,613,154,0.366080610074976,0.5007372583671237,11.699186332451482,613,154,0.027738959473046776,0.039966564767956014,0.8119898687471903
c_13873,1.7587225653642522,3.596520819050212,24.083220393344437,612,153,1.7445021238700509,3.587369695088656,23.808679694778668,612,153,0.014220441494201319,0.009151123961555818,0.2745406985657688
c_14106,0.0100299143156295,0.0572222492861937,24.107562137792208,608,153,0.0095160960928243,0.0571844252706054,18.976740244816085,608,153,0.0005138182228052006,3.782401558829335e-05,5.1308218929761225
c_14135,2.057613719094035,3.113949272093901,8.155547732205466,614,154,2.0393188248570997,3.0833878855579204,8.098684864700566,614,154,0.0182948942369352,0.030561386535980617,0.05686286750490055
c_14296,3.8155570263776184,4.8390313723140315,33.30823881096875,614,154,3.7667114656976137,4.7713198231684055,32.9264587173493,614,154,0.048845560680004674,0.06771154914562594,0.3817800936194544
c_14363,0.502604493304628,1.0329248112582372,13.986431711012283,613,154,0.4956213173775666,1.0296269413663652,13.7715629909292,613,154,0.00698317592706138,0.003297869891871974,0.2148687200830839
c_14388,0.6748093810764072,0.8051299662523614,8.597526821824744,613,154,0.6856642714785378,0.8125581756284331,8.83917285696669,613,154,-0.010854890402130613,-0.007428209376071693,-0.2416460351419456
c_14396,2.2437058309505424,2.67209202935059,14.470846997650758,613,154,2.308907351522688,2.7376817447293127,14.976838661910092,613,154,-0.06520152057214545,-0.0655897153787226,-0.5059916642593336
c_14413,0.5439124348237727,0.7186156746025718,18.883001549673693,614,154,0.5446677448275717,0.713855997721813,19.040212251832457,614,154,-0.0007553100037990257,0.004759676880758845,-0.1572107021587641
c_14416,0.3217043213841137,0.536675326418656,12.831851697167854,614,154,0.3211772898042424,0.5370792362585728,12.801875671581213,614,154,0.0005270315798712732,-0.00040390983991678286,0.029976025586641697
c_14417,1.3073727056890176,1.8572514988561328,12.09859083379426,614,154,1.313010649346013,1.8679760037029212,12.159934588317016,614,154,-0.005637943656995326,-0.01072450484678833,-0.0613437545227562
c_14435,0.4681273376980117,0.5665529785205555,10.986993302840856,614,154,0.4496021835145554,0.5415493071356067,10.713914599482766,614,154,0.018525154183456294,0.025003671384948856,0.2730787033580899
c_14471,2.0144449026834113,2.6601912663158713,8.995853793804807,608,152,1.9473653041301315,2.5768139284735523,8.767216883142593,608,152,0.06707959855327972,0.08337733784231904,0.22863691066221392
c_14820,2.6425497540776153,3.995879109939133,12.431127741176272,613,154,2.60264111651728,3.956012019700766,12.301270185201464,613,154,0.03990863756033525,0.039867090238366654,0.12985755597480875
c_14855,0.6498234217243183,0.836349388922861,9.785101286259945,613,154,0.6183490623074328,0.8051643511504825,9.346155406883968,613,154,0.03147435941688548,0.031185037772378577,0.43894587937597684
c_14886,1.2284537328151863,1.613537695992602,5.629604769608699,613,154,1.2293075639475546,1.5875821437746158,5.73833305500163,613,154,-0.0008538311323682546,0.025955552217986178,-0.10872828539293078
