container_id,day1_mae,day1_rmse,peak_mae,peak_rmse,non_peak_mae,non_peak_rmse,residual_mae_scaled,residual_rmse_scaled,residual_pearson_r,residual_r2,residual_std_actual,residual_std_predicted,residual_std_ratio
c_11087,8.71739515193776,13.849542063211336,45.02913169463618,50.1524206617969,6.722244792448835,8.009208836806835,0.0919222835443713,0.14603921358448696,0.023544157699246303,-0.29777143837157527,0.1281947913060115,0.07068455219268799,0.5513839639861666
c_11203,1.7695318865199383,2.7258029869889517,3.114757361658072,4.236447384161694,1.0648899709713922,1.3859449370223826,0.05983014209435809,0.09216289419542885,0.03881536695664184,-0.4747961021818008,0.07589097176668522,0.0457349494099617,0.6026401869061127
c_11307,2.745327769331139,4.465243907679478,6.086122502936123,8.756107036452484,1.8661712604877225,2.2381221399409728,0.15963276814412383,0.25964085359294764,0.14587177900404505,0.006987368833258567,0.26055273834573334,0.06643979251384735,0.2549955641828139
c_11327,0.7861521690763059,0.9413977768367069,1.1185897826658016,1.2623525791067736,0.7340836271887945,0.8805947872508468,0.08523091283255829,0.10206190991320102,0.20349356492945558,-0.2585363253772266,0.09097683280009965,0.06360787898302078,0.6991656779565436
c_11461,2.194380078096966,2.7973259055559945,3.5810165331345027,4.26413760479903,1.895989954861039,2.365614196443125,0.05133555685564876,0.06544093454994598,0.09632311064039419,-0.7523761524288084,0.049435146510285986,0.046661145985126495,0.9438860664733277
c_11735,2.6169080008404904,4.336766489148136,3.9866962795476586,6.140896004743343,1.5055703407573167,1.8630884429330354,0.07371733968823944,0.12216512323949795,0.2454473946854757,-0.20197359195627418,0.11142939547651111,0.045765794813632965,0.41071563403823924
c_11752,0.5847788729659188,0.7348703121573542,1.097903213227837,1.240701245442819,0.4581637760181727,0.5417126285402604,0.11642816460309895,0.14631103417235392,-0.13359445154685473,-0.4429814046348717,0.12179983860286846,0.06619662046432495,0.5434869308830593
c_1181,6.57092649362453,9.848143258075712,24.909227867100128,27.000337579823533,4.673860834299468,5.621678887581584,0.08958149130111104,0.1342598125943692,-0.0918676762332469,-0.30027331465835716,0.11774126887445972,0.051002386957407,0.43317341018116345
c_1186,1.1412511181500031,1.3935109711663127,1.0719582228723654,1.3682578526786642,1.1656500249379034,1.4022946616454075,0.048294162810305075,0.058969007477114,0.4475698980983238,0.03323533922726685,0.05997405791801819,0.04837765917181969,0.8066430862148721
c_11996,1.2784878708847975,1.6915147459160627,3.2838954988094713,3.531952764589437,1.1683006385812442,1.527419260527224,0.059638540973166836,0.07890530194175073,0.37832834326791187,0.060672316837248275,0.08141372486981392,0.053314220160245895,0.6548554343324662
