horizon,mae,rmse,r2,std_actual,std_predicted,std_ratio,container_id
4,0.010651012844236168,0.014729106435984067,0.8804073961944361,0.04259162790896953,0.03361062332987785,0.7891368557622017,c_11203
12,0.02099383446541987,0.03130626672811605,0.32857757179784075,0.038206157258272984,0.04192182794213295,1.0972531903363663,c_11203
24,0.039353546077210394,0.05644560440790644,-0.9797306795762282,0.04011687276594994,0.04353298619389534,1.085154031020207,c_11203
48,0.05089529218332927,0.07721403796982121,-0.382504055755462,0.06566940143775901,0.036144476383924484,0.5504005761066965,c_11203
96,0.05983014209435809,0.09216289419542885,-0.4747961021818008,0.07589097176668522,0.0457349494099617,0.6026401869061127,c_11203
1,0.24815305122892933,0.24815305122892933,,0.0,0.0,,c_11307
4,0.24598006531494893,0.27260155922671186,-2.094911432358743,0.15495451068552943,0.10205308347940445,0.6586002758352408,c_11307
12,0.1576458889612614,0.18619031577010292,0.1218670675409067,0.19869043295503186,0.09057766944169998,0.4558733306610679,c_11307
24,0.19630311111494905,0.2285158660779255,0.030540395304100243,0.2320873662303414,0.0743514746427536,0.32035985349138507,c_11307
48,0.19844222574681392,0.32449784432507534,0.005635601517572475,0.3254160976071187,0.06110397353768349,0.18777182194427125,c_11307
96,0.15963276814412383,0.25964085359294764,0.006987368833258567,0.26055273834573334,0.06643979251384735,0.2549955641828139,c_11307
1,0.32410142920947616,0.32410142920947616,,0.0,0.0,,c_11327
4,0.1379562145725822,0.1822794910448305,-42.90745138112905,0.027508612947439903,0.12604933977127075,4.582177226169507,c_11327
12,0.10875835751448794,0.13453875989633965,-2.6262671200048704,0.07065087163399272,0.10421155393123627,1.4750214897716318,c_11327
24,0.10698667513179272,0.12606004836120435,-1.298660260388568,0.08314575390521355,0.08233344554901123,0.9902303086080818,c_11327
48,0.0966981217313881,0.11453230243509975,-0.7220693352740932,0.0872775757642962,0.06904271990060806,0.7910705504363045,c_11327
