band,mae,rmse,r2,pearson_r_within_trajectory,std_ratio,container_id
49-96,0.12082331054143379,0.17183682590564825,-0.09616956859772419,0.07808580114698242,0.3964827911771652,c_11307
1-4,0.1379562145725822,0.1822794910448305,-42.90745138112905,0.35346873904669857,4.582177226169507,c_11327
5-12,0.0941594289854408,0.1026552991515108,-0.6485966289124698,0.006242170602811854,0.46977828748827055,c_11327
13-24,0.10521499274909747,0.11696834473999122,-2.406268065410311,0.3199911069529753,0.8055516686438761,c_11327
25-48,0.0864095683309835,0.10170624764163276,-0.8206452758195844,0.09401536661336585,0.3954718403947769,c_11327
49-96,0.07376370393372846,0.08783859407558593,-0.15876888964430336,0.26815873021854947,0.7031499751705561,c_11327
1-4,0.07739750309656207,0.09635675283506899,-4.341116301825813,0.7336241890480817,1.9308168156376684,c_11461
5-12,0.07054788199414408,0.08421473546381827,-1.2864342228545151,0.5646171338936434,0.5384077592027152,c_11461
13-24,0.07695757530484897,0.09059610036000938,-0.9212689435295596,-0.536650008979106,0.4766199976390541,c_11461
25-48,0.03085279979178983,0.041304508606216477,-1.114174100109571,-0.2797620630619786,0.8116261749256735,c_11461
49-96,0.04979754773211951,0.060863357894657806,-0.8472411656579915,0.06165961264713184,0.9630232222472113,c_11461
1-4,0.039557459300149214,0.042925966558266936,-2.95848465434732,0.6835728889127866,0.4302744798480107,c_11735
5-12,0.031882601757132055,0.03771926632118741,-13.953009510973398,0.40433164617605954,4.140858784762644,c_11735
13-24,0.030301356330539302,0.0327988824426791,-5.683981286761337,0.9049981610977711,3.3099482904463557,c_11735
25-48,0.0523108362729798,0.06608866590764481,-4.571307358867431,-0.6386326527118293,0.9747203483863364,c_11735
49-96,0.10509370025615304,0.16433246806427784,-0.22618025148394638,0.397974597396757,0.3521499874190284,c_11735
1-4,0.20368631010829502,0.2539915166421032,-2.1693519838495545,0.29717343874692753,0.9149529710194165,c_11752
5-12,0.10988402712249522,0.12306590095069923,0.05797103586880015,0.3183187927457746,0.5158005700545549,c_11752
13-24,0.10744052689602006,0.12967301494895786,-8.36104276898645,-0.6743781774615791,1.8603275730817053,c_11752
25-48,0.12295824056426047,0.15965030366099403,-0.3389493141890765,-0.3247081810413056,0.2745571994060424,c_11752
49-96,0.10922921350395554,0.1340364806194241,-0.6600345176080924,-0.2573482890720663,0.532278934944868,c_11752
1-4,0.06037094652064598,0.0671979975457728,-0.6858738189934079,0.6480977942060648,1.642589605717449,c_1181
5-12,0.04300044064678209,0.05030728013691329,-2.932658054070069,0.7807263776442512,1.8975447665556486,c_1181
13-24,0.09710073394988601,0.11827165686168058,-1.0953989557117265,-0.55192906240186,0.5683902421676903,c_1181
25-48,0.10951286008363188,0.15330138503474025,-0.09143553457986009,-0.021869247299007855,0.20503274113088232,c_1181
49-96,0.08793371675508377,0.14144111747574628,-0.5102218270339731,-0.2602277734497269,0.4595543807914217,c_1181
1-4,0.04564628553410616,0.05075637985468116,-0.5774479617189314,0.7738266762773003,0.4148658362676765,c_1186
5-12,0.04166773804946329,0.05142009555864773,-0.15889499487654635,0.4866304709660129,0.6864900574798312,c_1186
13-24,0.02098941689045374,0.029391138319191084,0.7606717214677763,0.881237240217877,0.9150234163639379,c_1186
25-48,0.042200697716305115,0.052570378406739865,-0.0612470060841539,0.19787545434826653,0.509835191006746,c_1186
49-96,0.05949214240375809,0.06856785236022797,-0.5353779535002716,0.36578970876659644,1.0030721704012595,c_1186
1-4,0.023572684396924296,0.03567336963217622,0.360987366845965,0.9377740183048735,1.5117086712293037,c_11996
5-12,0.01877573725889807,0.022944276592217927,0.8102912186612679,0.9509972804466578,0.6454427248013265,c_11996
13-24,0.038960532854104384,0.04704281694764087,-0.10534153102084987,0.8899280288718016,1.2836457037348714,c_11996
25-48,0.07121344974649499,0.08830757749861652,-0.32402936142228733,-0.2221980950915653,0.347604718466165,c_11996
49-96,0.06883654395000005,0.08835119405423328,-0.023122752190791962,0.29378098491494065,0.5902665774902963,c_11996
1-4,0.1391639120000511,0.15262248670850426,-859.9531380519194,-0.9953197622934693,26.86153079804938,c_12060
5-12,0.3126034928658462,0.3653091330154815,-0.16542699932577043,-0.19667532320626652,0.1828575343833407,c_12060
13-24,0.14184223697768994,0.19025708738472286,-0.109449493875998,0.48037383328722466,0.4077244898452431,c_12060
