container_id,band,band_range,sigma_actual,sigma_predicted,std_ratio,flagged_low_sigma,arm
c_11327,h01_12,1-12,0.07065087163399272,0.007409370969980955,0.1048730298525579,False,mse
c_11327,h13_24,13-24,0.0633765994144343,0.006080956663936377,0.09594955740953517,False,mse
c_11327,h25_48,25-48,0.07537632551786907,0.0053143748082220554,0.0705045618993752,False,mse
c_11327,h49_72,49-72,0.05351722615557256,0.005570634733885527,0.10409049821999185,False,mse
c_11327,h73_96,73-96,0.10148910277509603,0.012477151118218899,0.12294079637169296,False,mse
c_11461,h01_12,1-12,0.05180590733229026,0.013134888373315334,0.253540359578423,False,mse
c_11461,h13_24,13-24,0.06536050858608773,0.008280741050839424,0.12669333868375093,False,mse
c_11461,h25_48,25-48,0.02840711214093475,0.00443530548363924,0.1561336281433532,False,mse
c_11461,h49_72,49-72,0.043561012216059236,0.009096757508814335,0.20882796441219328,False,mse
c_11461,h73_96,73-96,0.04589918321677984,0.016114426776766777,0.3510830835629262,False,mse
c_11735,h01_12,1-12,0.01698443393859916,0.0058794948272407055,0.3461696073296178,False,mse
c_11735,h13_24,13-24,0.012686488600766615,0.0038687828928232193,0.30495301060605834,False,mse
c_11735,h25_48,25-48,0.027999380723589824,0.002434172434732318,0.0869366525910874,False,mse
c_11735,h49_72,49-72,0.17336848138093472,0.004547835327684879,0.02623219221544732,False,mse
c_11735,h73_96,73-96,0.014907387063832198,0.006400309968739748,0.42933814902196815,False,mse
c_11752,h01_12,1-12,0.1347639691033659,0.006924895569682121,0.05138536372708514,False,mse
c_11752,h13_24,13-24,0.04238259008086101,0.005186336115002632,0.1223694942925317,False,mse
c_11752,h25_48,25-48,0.13797095816705351,0.004050597082823515,0.029358331178066494,False,mse
c_11752,h49_72,49-72,0.06506292656067304,0.005189552437514067,0.07976205055385359,False,mse
c_11752,h73_96,73-96,0.11996063209067243,0.004071754403412342,0.0339424220467153,False,mse
c_1181,h01_12,1-12,0.037755973538323044,0.007967252284288406,0.21101964901531386,False,mse
c_1181,h13_24,13-24,0.08170475259964514,0.00332726095803082,0.040722979412647665,False,mse
c_1181,h25_48,25-48,0.14673949967229633,0.0021437660325318575,0.01460933175674845,False,mse
c_1181,h49_72,49-72,0.07262845983628909,0.002470077946782112,0.03400978008276486,False,mse
c_1181,h73_96,73-96,0.14273531685228033,0.004061222076416016,0.028452818587421196,False,mse
c_1186,h01_12,1-12,0.05817123830183784,0.012560084462165833,0.21591571417122496,False,mse
c_1186,h13_24,13-24,0.06007854387795334,0.009123391471803188,0.1518577329426778,False,mse
c_1186,h25_48,25-48,0.051030857266335106,0.005397978238761425,0.10577870974396611,False,mse
c_1186,h49_72,49-72,0.05540420935705132,0.008457917720079422,0.15265839578311713,False,mse
c_1186,h73_96,73-96,0.05451508767149702,0.013902497477829456,0.2550210973080452,False,mse
c_11996,h01_12,1-12,0.053896250356200395,0.009380406700074673,0.17404562725754671,False,mse
c_11996,h13_24,13-24,0.044745058021890965,0.009854775853455067,0.22024277739529893,False,mse
c_11996,h25_48,25-48,0.0767448361314966,0.004094604402780533,0.05335348421051719,False,mse
c_11996,h49_72,49-72,0.07472298534325209,0.007347883190959692,0.09833497895200527,False,mse
c_11996,h73_96,73-96,0.09806290566778395,0.012757598422467709,0.13009606778008098,False,mse
c_12060,h01_12,1-12,0.3056080775300124,0.008319876156747341,0.027224006066823556,False,mse
