horizon,mae,rmse,r2,std_actual,std_predicted,std_ratio,container_id
96,0.059183597126488074,0.07210013592732835,0.031718172525780686,0.07327151863729381,0.0036479802802205086,0.04978715260807705,c_10393
1,0.027258035618944756,0.027258035618944756,,0.0,0.0,,c_10641
4,0.01847469379376666,0.020014745308628488,-0.057158426096213466,0.019466148411629754,0.000928917492274195,0.047719634754208866,c_10641
12,0.014180256291737569,0.016632894312025494,-0.1089131710816309,0.015794979153175365,0.001137627987191081,0.07202465898553442,c_10641
24,0.01654066606648043,0.020296533901453553,-0.030160006741764445,0.0199972159114112,0.0015239862259477377,0.07620992005582593,c_10641
48,0.026171498157048695,0.03298246858376481,-0.20703934203656216,0.03002081267698286,0.0015443998854607344,0.05144430639097373,c_10641
96,0.028023214694331566,0.03581973214829029,-0.31470860760737307,0.031239752235556747,0.001651219790801406,0.05285636641259931,c_10641
1,0.005858004947338513,0.005858004947338513,,0.0,0.0,,c_10695
4,0.04769896815959402,0.0687071739234985,-0.5721470103130033,0.054796839222922826,0.019729120656847954,0.3600412165487602,c_10695
12,0.06450861629869901,0.08534341160017626,-0.2802337498542409,0.07542674454881489,0.017325304448604584,0.22969709951344838,c_10695
24,0.08934663724797233,0.11977820957469822,-0.08009154139473629,0.1152517516042026,0.013776327483355999,0.11953247817583408,c_10695
48,0.16110043066553925,0.22219974391787162,-0.2958938948313441,0.19519056993774325,0.01130592543631792,0.05792249820226452,c_10695
96,0.12111559427784568,0.17191371312539608,-0.16319827878297932,0.1593982852906902,0.011434344574809074,0.0717344264648555,c_10695
1,0.011313367383964823,0.011313367383964823,,0.0,0.0,,c_10733
4,0.028733955504542802,0.0401062845202627,0.010501443305826252,0.040318544706283425,0.002105956431478262,0.05223294756345856,c_10733
12,0.09170656598886984,0.12861101689650467,0.004403087482548695,0.1288950981467406,0.0038521739188581705,0.029886116495079305,c_10733
24,0.11106010213959028,0.13662517547820055,-0.1659154495009565,0.12653107685963474,0.004390405956655741,0.03469824224705025,c_10733
48,0.11755479885890574,0.14942226103436432,0.011262628306571876,0.15027087975157302,0.0043792263604700565,0.029142215495841704,c_10733
96,0.11197049958189269,0.14097845455004712,-0.048406369706737395,0.13768540929770545,0.004190576262772083,0.030435877586064013,c_10733
1,0.06075650527522758,0.06075650527522758,,0.0,0.0,,c_10878
4,0.08390596708743273,0.08614583215568293,-0.1284248922031339,0.08109572143421764,0.0007845937507227063,0.00967490931514981,c_10878
12,0.07619548121444135,0.08154475594162139,-0.5028502485460609,0.06651784694632948,0.001212869305163622,0.018233742684760024,c_10878
24,0.07975536614449757,0.09326627364630333,-0.19664242445817304,0.08525943050926142,0.0017584394663572311,0.020624574382610006,c_10878
48,0.09182445485330519,0.1120584904334684,0.00558027101352343,0.1123724634601655,0.00205565826036036,0.01829325616848351,c_10878
96,0.08178142639384321,0.10956321977588936,0.002473306056734126,0.10969896331687722,0.0019361610757187009,0.01764976638955003,c_10878
1,0.014376371357321865,0.014376371357321865,,0.0,0.0,,c_10898
4,0.07352510769764131,0.08443845113337135,-0.21193344825179605,0.07670097286157153,0.006676880642771721,0.08705079471184843,c_10898
12,0.1550412577543132,0.19968219716482452,-0.4440998418917015,0.1661654532363575,0.00598473334684968,0.036016712441044284,c_10898
24,0.15542688108094646,0.2142790109471643,-0.3591783979653247,0.1837982624276878,0.005870960187166929,0.03194241397943985,c_10898
48,0.15020873490326367,0.20312377348752897,-0.297692138525643,0.17830967938753461,0.006793408188968897,0.03809893109730876,c_10898
96,0.12684626481666628,0.16908929416459,-0.10059196294193762,0.1611769535229937,0.006197760812938213,0.03845314530066505,c_10898
1,0.1776177089947042,0.1776177089947042,,0.0,0.0,,c_11013
4,0.08368325879158335,0.1003716438494082,-0.1110842986826146,0.09522205103523498,0.0037127502728253603,0.03899044635629128,c_11013
12,0.0894487646254085,0.1083067120675457,-0.05774643675422286,0.10530878118656904,0.002636170480400324,0.02503276982885201,c_11013
24,0.09434230076700417,0.1275707291493818,-0.18650195573897177,0.11711615576215606,0.0028449438977986574,0.024291643448204343,c_11013
48,0.0778861439677854,0.10558488255002968,-0.09700736304615454,0.10080845758462013,0.0030988638754934072,0.030740117939927553,c_11013
96,0.06259470037108726,0.0894773994332175,-0.2372858957184858,0.080441159528662,0.0029818019829690456,0.03706811289693803,c_11013
1,0.05257050542153173,0.05257050542153173,,0.0,0.0,,c_11087
4,0.053840940541681835,0.054058338299394854,-48.53101609467307,0.007681111565172976,0.0053490824066102505,0.6963943123627564,c_11087
12,0.0744779935770347,0.09830468342944558,0.018488792653089337,0.09922624974333936,0.008203345350921154,0.0826731371198659,c_11087
24,0.04782718063180349,0.07167719279047896,-0.01793046091083772,0.07104310472881809,0.006282121874392033,0.08842690502296895,c_11087
48,0.07403577722023486,0.10484528524628395,-0.16462357692198082,0.09715297783156959,0.005970178637653589,0.0614513190527609,c_11087
96,0.07003486428852804,0.12965660981835211,-0.02293623838351344,0.1281947913060115,0.005406520329415798,0.04217425898771495,c_11087
1,0.049882935177106735,0.049882935177106735,,0.0,0.0,,c_11203
4,0.036072345062920425,0.03979970731299467,0.1268049257615237,0.04259162790896953,0.0035937363281846046,0.08437659006285098,c_11203
12,0.034684121088379434,0.04173082061095881,-0.19301837288924317,0.038206157258272984,0.0038494665641337633,0.10075513583089327,c_11203
24,0.042224166350220665,0.05003671685326391,-0.5556914666944313,0.04011687276594994,0.0031631910242140293,0.0788493919421071,c_11203
