container_id,day1_mae,day1_rmse,peak_mae,peak_rmse,non_peak_mae,non_peak_rmse,residual_mae_scaled,residual_rmse_scaled,residual_pearson_r,residual_r2,residual_std_actual,residual_std_predicted,residual_std_ratio
c_10878,0.4221228693665016,0.5655213261517881,1.0718389897630674,1.1824554035051407,0.3380419596681225,0.42456858321961216,0.08178142639384321,0.10956321977588936,0.07903917542828834,0.002473306056734126,0.10969896331687722,0.0019361610757187009,0.01764976638955003
c_10898,0.5899167846615264,0.7863740637411027,1.6857421102751102,1.770769977680961,0.4182814926979529,0.47341031465544403,0.12684626481666628,0.16908929416459,-0.09425207978207362,-0.10059196294193762,0.1611769535229937,0.006197760812938213,0.03845314530066505
c_11013,2.8504934900887395,4.07470190099779,11.210714925374974,11.396703758615939,2.1929479839426307,2.7736982571644977,0.06259470037108726,0.0894773994332175,0.06684316299253434,-0.2372858957184858,0.080441159528662,0.0029818019829690456,0.03706811289693803
c_11087,6.641714749402758,12.29590756741376,43.3720805979022,48.72343768694715,4.6235627797049865,5.390579918285675,0.07003486428852804,0.12965660981835211,0.014636677131854878,-0.02293623838351344,0.1281947913060115,0.005406520329415798,0.04217425898771495
c_11203,1.5381920946903989,2.3773337676154096,2.663174424693092,3.659299449883074,0.9489156361175597,1.2641524520322667,0.052008247093380595,0.08038070305807003,0.007422765942740361,-0.12182050297786629,0.07589097176668522,0.0027432849165052176,0.036147711020739236
c_11307,2.6270024160934224,4.452365342288917,6.152865633967912,8.88075797003278,1.6991436745475041,2.0701647630546405,0.15275249545319852,0.2588920027395134,0.27884926351307904,0.012707162013705475,0.26055273834573334,0.00807552132755518,0.030993807160988603
c_11327,0.6939633377938103,0.8642711837166721,1.207591166081467,1.3472149755346992,0.6135156056523701,0.761369744655123,0.0752362342547381,0.09370020820472702,-0.041853639550902835,-0.060765740027798776,0.09097683280009965,0.00455444073304534,0.05006154416314602
c_11461,1.5726279900121842,2.1041180806828144,3.1956669925073293,3.7714016963450048,1.223366432513229,1.5229178993201664,0.03679022353505331,0.04922395825593078,0.27657449840762727,0.008525802726413012,0.049435146510285986,0.00489803496748209,0.0990800131736831
c_11735,2.114816442958347,4.402855578882354,3.9378329734795514,6.50136397330685,0.6357652955543515,0.9055451269590228,0.05957360444225157,0.12402682868579533,0.049174005452540206,-0.23888709593021695,0.11142939547651111,0.0015848909970372915,0.014223275557223861
c_11752,0.5035979900106734,0.6152991684452682,0.9647490175307469,1.0916180995813116,0.3898074767264993,0.4218691089377904,0.10026523252691043,0.12250468711456117,-0.04751421822945988,-0.011607371212787099,0.12179983860286846,0.007513833232223988,0.06169000976038266
c_1181,5.251919848128028,8.707623025230836,23.32138488623595,24.891967551892197,3.38266484418583,4.423667592782557,0.07159946358336128,0.11871109150968423,0.1882235488227052,-0.016541639288011778,0.11774126887445972,0.0030074866954237223,0.02554318230280345
