container_id,baseline,residual_mae,residual_rmse,residual_pearson_r,residual_r2,residual_std_ratio,day1_mae,day1_rmse,day1_mape,peak_mae,non_peak_mae
c_1016,zero,0.026373404435356212,0.03802287236833832,,-0.00358496981551526,8.926730989524784e-20,0.36595783969274925,0.5277934806507912,15.258267804753064,1.3860609178491292,0.2732211962239875
c_1016,persistence,0.021891569018350404,0.039885597581827026,,-0.10432400181407164,1.371145879991007e-16,0.3583892594749272,0.5271320293554336,14.826882165202756,1.4005925918673476,0.26364350198470715
c_1016,ridge,0.0258130042235038,0.03733183275206397,0.18833974557873057,0.03256247681716662,0.20609342253904747,0.36511823459927584,0.5263588429871697,15.215061882052794,1.3837467615689425,0.272515641238397
c_10306,gru,0.09919200724761186,0.11404081801087446,0.05732401549982539,-0.003349428683348865,0.03898533063637007,0.3483374643983372,0.39953588216821306,1527.276608809946,0.508077482925672,0.3008471886199404
c_10306,zero,0.09967357829864941,0.11422437632740527,,-0.006581979209243416,2.975953047127349e-20,0.348850947946684,0.39978106644280514,1529.74442023107,0.507838308751468,0.3015844352749914
c_10306,persistence,0.09811051632962353,0.11396936680943964,,-0.002092544264640228,0.0,0.3470453711957056,0.3988748340160246,1484.2170430344602,0.5222829227592951,0.2949477207308546
c_10306,ridge,0.10041152703245138,0.11583211007180634,-0.040414649746014164,-0.03511712986814808,0.13673302356408157,0.34898464199406537,0.40063911832758275,1541.8486648815062,0.5094407491735888,0.30128147499474756
c_10312,gru,0.00964124682580098,0.0126850087038327,0.015344763580516053,-0.12280009996853858,0.0984798683643839,0.3413571809630698,0.442849974116748,26.65714554687344,0.6223277376888994,0.25283221103575354
c_10312,zero,0.00970682910417585,0.012591951925892075,,-0.106386880877541,2.830223590733205e-19,0.34144959346087456,0.44281110813672925,26.669534440202096,0.6221939966830806,0.2529958773771658
c_10312,persistence,0.029047681295603204,0.03141780779692218,,-5.887675224044975,5.796297913821604e-16,0.3509797339557588,0.45127750495321883,27.148102879830827,0.6473370147165614,0.2576068920722184
