container_id,original_identity_holds,corrected_z_identity_holds,rra_sign,rra_original_space,corrected_space,orig_n_points,orig_max_abs_identity_error,orig_identity_holds,orig_mean_prophet,orig_mean_ridge_pred,orig_mean_remaining
c_13083,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,0.08072282390209203,-0.012102162511646877,0.09282498641373887
c_13166,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,-0.05882785047618901,-0.02297621145153901,-0.03585163902465001
c_13170,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,0.060188368492369713,-0.007873551776431105,0.06806192026880083
c_13229,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,0.05949197670010385,-0.0169087183942422,0.07640069509434605
c_13269,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,0.031254031277288104,-0.023428050459964978,0.054682081737253085
c_13308,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,-0.015771749437066454,-0.011161464492789128,-0.0046102849442773266
c_13389,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,-0.11213001158453616,-0.015934274032919443,-0.09619573755161671
c_13403,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,-0.02629655965437005,-0.009362497528173166,-0.016934062126196883
c_13441,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,153,0.0,True,0.04451516661551766,-0.014502790193184732,0.059017956808702386
c_13607,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,0.0980058023525534,-0.0504896236343169,0.1484954259868703
c_13615,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,-0.05630114095494288,-0.021431667462628423,-0.03486947349231446
c_13658,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,0.11094697118871007,-0.08345027551147266,0.1943972467001827
c_13690,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,0.015277363923309447,-0.01610376252111893,0.03138112644442838
c_1379,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,0.006452608383843051,-0.018379230261378218,0.024831838645221274
c_1387,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,0.008568476319423838,-0.01017709463159122,0.018745570951015058
c_13873,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,153,0.0,True,0.16799466748318204,-0.0643052570719205,0.2322999245551025
c_14106,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,153,0.0,True,0.016919155985984223,-0.006881726736423887,0.023800882722408115
