band,mae,rmse,r2,pearson_r_within_trajectory,std_ratio,container_id
1-4,0.05134224648479349,0.06930683897337976,-0.7933480550875209,0.680403894069795,0.15872811866577793,c_1181
5-12,0.042631281360626896,0.04937842307316451,-2.7887761172348933,0.22997246556543233,0.09747504212345645,c_1181
13-24,0.06921619686315313,0.08331755367904414,-0.039868401126573305,-0.30175154768019885,0.040722979412647665,c_1181
25-48,0.10640356980714749,0.1488120561268511,-0.028447594651852093,0.04888998436665069,0.01460933175674845,c_1181
49-96,0.06028447244661465,0.12022454841852957,-0.09112798335670824,0.003351057083658876,0.033686976276594914,c_1181
1-4,0.06611478340095728,0.0772532018470275,-2.6543213899515163,0.15781772396461607,0.1058064020669356,c_1186
5-12,0.03958568831483979,0.04364203608156169,0.1651886665182949,0.5636298598824994,0.21393984547738903,c_1186
13-24,0.045619169757496664,0.05315609872101954,0.2171701048993675,0.8335518622797391,0.1518577329426778,c_1186
25-48,0.0380213540476792,0.048502544632676704,0.09663487615995403,0.5103208040962832,0.10577870974396611,c_1186
49-96,0.04939650949431592,0.059232285318127804,-0.1457534784642862,0.33353543429069454,0.21824750311601296,c_1186
1-4,0.06765880589549349,0.07622157743221743,-1.917272790263858,0.942947287791039,0.2303546047152539,c_11996
5-12,0.04344866136228191,0.05385249378682035,-0.04508191872945666,0.9174006762329806,0.1631461141675726,c_11996
13-24,0.0653230423596281,0.069170599754333,-1.389752537751991,0.7771433411558397,0.22024277739529893,c_11996
25-48,0.06110203728909388,0.07861075003697865,-0.0492175678819502,-0.1316261271961579,0.05335348421051719,c_11996
49-96,0.06611141479693317,0.08419981167339086,0.07076590520551929,0.34673337087735523,0.1285320740176271,c_11996
1-4,0.1437253911250822,0.1441374179950844,-766.8845662849998,-0.6661133498275436,1.2902955026289067,c_12060
5-12,0.2791587552868712,0.3701425144710743,-0.19647039437691305,-0.4742919718224218,0.022895890673437655,c_12060
13-24,0.1542497300714386,0.20291941702407684,-0.2620398269827078,0.33273883661299525,0.04535533121689551,c_12060
25-48,0.14348718530980512,0.16928910640357872,-0.03946517645281955,-0.39744170800668166,0.03342860056810851,c_12060
49-96,0.11347173503063494,0.2539907883879912,-0.03889499402978713,0.10539634683389093,0.05640881636584602,c_12060
1-4,0.0895024113088374,0.0908911181571594,-30.74117346845212,0.27105462795243085,0.08133186813596467,c_12158
5-12,0.052166087974106864,0.06282893550107621,-0.33576399980169014,-0.8655560663571544,0.0983064895072532,c_12158
13-24,0.043892746086239526,0.054377464758749626,-0.5606606388357209,-0.20359446337394538,0.08106640332589284,c_12158
25-48,0.05804524349082981,0.06840592872362343,-0.03284630712812042,-0.4990986656483132,0.0316862823502382,c_12158
49-96,0.03954636224066679,0.052654757818815304,0.012076229592351329,0.3040103238897249,0.13031580992542913,c_12158
1-4,0.06172970516505226,0.06510922160067811,-0.4563761139817666,0.6814425617884915,0.2817683611866324,c_12164
