container_id,origin_index,ph_statistic,ph_alarm,ph_lambda
c_10878,392,0.02690858332942792,False,50.0
c_10898,392,0.01617391706415317,False,50.0
c_11013,392,1.2251794795409352,False,50.0
c_11087,392,1.6952356369336323,False,50.0
c_11203,392,1.3597564268848796,False,50.0
c_11307,392,0.24162419871994512,False,50.0
c_11327,392,0.1604751387771819,False,50.0
c_11461,392,0.3004557991359422,False,50.0
c_11735,392,0.3901134634915526,False,50.0
c_11752,392,0.07009886051070702,False,50.0
c_1181,392,0.9150122022440799,False,50.0
c_1186,392,0.10503037248151426,False,50.0
c_11996,392,1.1555086720552283,False,50.0
c_12060,392,0.04039148059641186,False,50.0
c_12158,392,0.6162509987292747,False,50.0
c_12164,392,0.1824116291149236,False,50.0
c_12174,392,0.025368283262545817,False,50.0
c_12189,392,0.06568710142349266,False,50.0
c_12193,392,0.06475622989536939,False,50.0
c_12231,392,1.6601968995213987,False,50.0
c_12237,392,3.250616159197307,False,50.0
c_12441,392,0.8510731033188483,False,50.0
c_12517,392,1.4765987261176057,False,50.0
c_12624,392,0.03204227887303152,False,50.0
c_12767,392,0.09549625477393953,False,50.0
c_12858,392,0.023055761932770983,False,50.0
c_1286,392,0.05325639236372982,False,50.0
c_12971,392,0.05920422335569632,False,50.0
c_12974,392,0.033328886905401374,False,50.0
c_12993,392,0.8014444703413098,False,50.0
c_12999,392,0.06710593693132927,False,50.0
c_13020,392,0.08433914314918334,False,50.0
c_13044,392,0.05974038731677784,False,50.0
c_13083,392,0.06159062325613641,False,50.0
c_13166,392,0.6672483233528793,False,50.0
c_13170,392,1.804204270407301,False,50.0
c_13229,392,0.08255648964713047,False,50.0
c_13269,392,0.003356538873210084,False,50.0
c_13308,392,0.0,False,50.0
c_13389,392,3.9078220930845795,False,50.0
c_13403,392,0.0790268090050671,False,50.0
c_13441,392,0.08523668976374832,False,50.0
c_13607,392,0.10456822640821462,False,50.0
c_13615,392,0.2712180150850373,False,50.0
c_13658,392,0.05041938774928945,False,50.0
c_13690,392,0.37556311438315126,False,50.0
c_1379,392,0.039104074276254126,False,50.0
c_1387,392,0.19430328421076337,False,50.0
c_13873,392,0.09969232498608716,False,50.0
c_14106,392,0.0,False,50.0
c_14135,392,0.3332658728918412,False,50.0
c_14296,392,0.3284165456307575,False,50.0
c_14363,392,0.04267850996234308,False,50.0
c_14388,392,0.311264687418067,False,50.0
c_14396,392,0.9005271887029973,False,50.0
c_14413,392,0.01947182357681865,False,50.0
c_14416,392,0.004265597371337002,False,50.0
c_14417,392,0.3919476947384365,False,50.0
c_14435,392,0.27235858311895544,False,50.0
c_14471,392,1.402652737916239,False,50.0
c_14820,392,0.185078289197805,False,50.0
c_14855,392,0.1719633419779648,False,50.0
c_14886,392,0.035129333901619327,False,50.0
c_1494,392,0.05885391393664358,False,50.0
c_14964,392,0.25496025122224986,False,50.0
c_15030,392,0.24104060812960537,False,50.0
c_15035,392,0.0,False,50.0
c_15072,392,0.41151746804106104,False,50.0
c_15179,392,0.5269277077266584,False,50.0
c_15235,392,0.2808379458244413,False,50.0
c_15282,392,0.017507411426979928,False,50.0
c_15420,392,0.14370839680869807,False,50.0
c_15446,392,0.022084703464267445,False,50.0
c_15486,392,0.08233256249366927,False,50.0
c_15527,392,4.943943354857067,False,50.0
c_15555,392,0.19406668394389226,False,50.0
c_15570,392,0.0691066011369571,False,50.0
c_15604,392,0.09405853657034213,False,50.0
c_15616,392,0.07905005614245869,False,50.0
c_15630,392,0.4483643671456392,False,50.0
c_15640,392,11.89299162494921,False,50.0
c_15642,392,0.09649872136802173,False,50.0
c_15647,392,0.32945837102805176,False,50.0
c_15794,392,0.0,False,50.0
c_15856,392,0.04539216197384561,False,50.0
c_16008,392,0.09176516797473233,False,50.0
c_16048,392,0.16852038568678507,False,50.0
c_10032,488,0.5157564088241182,False,50.0
c_10034,488,1.1616526098836215,False,50.0
c_10089,488,0.11721544538881457,False,50.0
c_10132,488,0.17146765666992647,False,50.0
c_1016,488,0.10377954252995426,False,50.0
c_10306,488,0.012855453763409855,False,50.0
c_10312,488,0.19760908602467686,False,50.0
c_10382,488,0.08263408232704085,False,50.0
c_10393,488,0.8461107229816546,False,50.0
c_10641,488,0.5527522892602525,False,50.0
c_10695,488,0.03876525012058043,False,50.0
c_10733,488,0.6622598993573171,False,50.0
c_10878,488,0.053627863832506235,False,50.0
c_10898,488,0.025677739142388138,False,50.0
c_11013,488,1.4195889143352738,False,50.0
c_11087,488,1.8506071246861309,False,50.0
c_11203,488,1.4950239053847307,False,50.0
c_11307,488,0.20561379031037597,False,50.0
c_11327,488,0.1603112464163533,False,50.0
c_11461,488,0.18599155330436845,False,50.0
c_11735,488,0.4139526268539536,False,50.0
c_11752,488,0.09157367328421784,False,50.0
c_1181,488,1.3353204740279911,False,50.0
c_1186,488,0.9536145381266666,False,50.0
c_11996,488,1.558312348242982,False,50.0
c_12060,488,0.06613446248630546,False,50.0
c_12158,488,1.0118395622126088,False,50.0
