container_id,hybrid_day1_mae,global_day1_mae,delta_day1_mae,hybrid_day1_rmse,global_day1_rmse,delta_day1_rmse,hybrid_day1_mape,global_day1_mape,delta_day1_mape,hybrid_train_steps,global_train_steps,hybrid_validation_steps,global_validation_steps
c_1286,0.3933469189181538,0.3958231000436678,0.0024761811255139543,0.5570774020285941,0.569444941654516,0.012367539625921853,18.86380194416001,19.607369080867123,0.7435671367071137,612,612,154,154
c_12971,0.965601286616744,0.9566755819651817,-0.008925704651562394,1.343063431910597,1.3982595369250543,0.055196105014457375,22.727513091244944,21.659544928193597,-1.0679681630513471,614,614,154,154
c_12974,0.5617758974284702,0.5393464567405838,-0.022429440687886437,0.7094902000407403,0.6872534593082413,-0.022236740732498927,20.721965521254067,20.73725872520935,0.01529320395528444,612,612,153,153
c_12993,5.087813574401984,4.2279125043639425,-0.8599010700380418,5.906397488126685,5.13293425555969,-0.7734632325669946,149.67601312526224,97.0435620091308,-52.63245111613145,613,613,154,154
c_12999,1.4379966922043337,2.2649921695391337,0.8269954773348,1.974744277423105,3.061562115651459,1.086817838228354,5.665187203643635,8.485934993291178,2.820747789647543,612,612,153,153
c_13020,0.9742188058469138,1.2273989333046809,0.2531801274577671,1.1856310022704477,1.4662955615670188,0.2806645592965711,5.3714327051342705,6.906794589318606,1.5353618841843355,613,613,154,154
c_13044,0.5339166952754063,0.5223692974282637,-0.011547397847142649,0.6789273891780856,0.6836051456891423,0.00467775651105673,37.22565481811777,34.999408460920094,-2.226246357197674,612,612,153,153
c_13083,0.7873580024877608,0.8799214780330656,0.09256347554530486,1.0541661998694418,1.1058010344066465,0.05163483453720463,10.347841672258502,12.134616458135994,1.7867747858774923,614,614,154,154
c_13166,1.2816950852422158,1.3979926857683396,0.11629760052612381,1.6070277600446568,1.8467131815294509,0.2396854214847941,10.107143495434707,9.75342235744118,-0.3537211379935279,614,614,154,154
c_13170,2.1748403333377255,3.0650235275427504,0.8901831942050249,2.7620471102946387,3.753403919753192,0.9913568094585532,11.201425506308995,15.224251678053072,4.022826171744077,614,614,154,154
c_13229,1.3682773426796315,1.4605825068458678,0.09230516416623624,2.5988738463196355,2.6912785466254263,0.09240470030579084,10.305493139743325,11.229915462427687,0.9244223226843626,614,614,154,154
c_13269,0.4228511237817396,0.4524501141574648,0.029598990375725165,0.5415910511069288,0.5557902704479835,0.014199219341054614,16.243639157552863,18.544947405252906,2.3013082477000424,614,614,154,154
c_13308,0.0034893799599411,0.0029262188230253,-0.0005631611369158003,0.0036901197358387,0.0036272054094715,-6.291432636719961e-05,34.89379959941172,29.262188230253138,-5.631611369158584,614,614,154,154
c_13389,7.303697650318969,6.201519349997952,-1.1021783003210173,8.25280660481358,7.80515396421974,-0.4476526405938399,71.52689312639038,28.939366852695542,-42.587526273694834,613,613,154,154
c_13403,0.3621327608287283,0.2702376822906512,-0.0918950785380771,0.4677154010833438,0.4367464920821859,-0.030968909001157896,16.805453404329064,11.612958041330849,-5.192495362998216,613,613,154,154
c_13441,0.8516851662629631,1.52947532998191,0.6777901637189468,1.168539401814063,1.9118281269370376,0.7432887251229747,6.532313337521618,12.154022462741889,5.621709125220271,610,610,153,153
c_13607,1.9487738511850403,2.06031530642951,0.11154145524446957,4.213097224270485,4.247249654519879,0.03415243024939407,26.004437193332347,28.651929595769403,2.647492402437056,614,614,154,154
c_13615,5.11771195099985,2.4091816470026965,-2.7085303039971538,5.679948497248,4.138860633632024,-1.5410878636159753,105.11289714273772,31.19928051565469,-73.91361662708303,614,614,154,154
c_13658,1.198094241714626,1.2121832619110744,0.01408902019644831,2.786390005592991,2.8073197347285244,0.02092972913553348,16.68487532056413,17.124147016641547,0.4392716960774159,613,613,154,154
c_13690,0.8677710262455225,1.3914658384190666,0.5236948121735441,1.8019900280088412,2.388430353803433,0.5864403257945916,24.175645900219138,44.5604599817844,20.38481408156526,614,614,154,154
c_1379,0.4154447102658969,0.4038797175836941,-0.01156499268220279,0.5314688705224896,0.5149457785428628,-0.01652309197962676,16.114780778487262,15.474394634364522,-0.6403861441227399,614,614,154,154
c_1387,0.366080610074976,0.4263681942390071,0.06028758416403113,0.5007372583671237,0.5983766753545228,0.09763941698739909,11.699186332451482,13.56638466033637,1.8671983278848874,613,613,154,154
