container_id,left_variant,right_variant,delta_day1_mae,delta_day1_rmse,delta_day1_mape,delta_forecast_mae_scaled,delta_forecast_rmse_scaled,delta_forecast_pearson_r,delta_forecast_r2,delta_forecast_std_ratio,memory_score,memory_class,pct_capture_within_96,pct_capture_within_192,pct_capture_within_288,acf_lag_96,acf_lag_192,acf_lag_288,integrated_autocorr_time,decorrelation_lag_0p1
c_11307,g96,g288,0.08601499597231532,0.13055331889320865,0.4577397096226754,0.005059706951108023,0.007679609795658848,-0.018454659317752087,-0.04944145486635369,-0.047119607096048316,0.586029638420883,low,0.413970361579117,0.6413111262436293,0.7457170210897248,0.33816632510087674,0.2359246655733014,0.16646082687133268,2.0243636222836145,11.0
c_11327,g96,g288,0.11315999664957566,0.10810804485898207,1.190517931387376,0.012573327920711697,0.012011996704124409,-0.016297300799816283,-0.09063231175756536,0.1296305882032468,0.6527402132424363,medium,0.3472597867575637,0.5910141839796144,0.7467555631424531,0.5916957345486485,0.49080131188606524,0.393353088584607,-0.7512843611011943,18.0
c_11461,g96,g288,0.20216599520709755,0.19459950409883664,0.38103999946644507,0.004738263300775203,0.004560923613654608,-0.006887902715709937,-0.03670923618877597,0.07375503754716517,0.6607607057426312,medium,0.3392392942573688,0.5891319488689107,0.7550882410154303,0.7396490667478883,0.6152491162990125,0.4921829884372654,1.1253126225129675,21.0
c_11735,g96,g288,0.39412897328535745,0.21014921944391052,4.3428918184942695,0.011154595042034199,0.005947619823581413,-0.0559118264637786,-0.14612522643848075,0.00914071241157649,0.6213677763020344,medium,0.37863222369796556,0.5764714733623948,0.750987678759426,0.2510608953871956,0.22300796780488102,0.2215798201295393,2.946575387994308,20.0
c_11752,g96,g288,-0.01675889309909606,-0.0029128899068491254,-2.1809115523422022,-0.0033517801409795045,-0.0005825783086340908,0.035713809197503,0.0093618275360998,0.011229673325161005,0.5914945210404681,low,0.4085054789595319,0.6199852458701701,0.7349823775442139,0.04317439924943554,-0.029864835414136075,-0.003633938515377651,0.01612447592989774,3.0
c_1181,g96,g288,0.38038193268908493,0.9202036882748708,-5.772254375560447,0.0052107148728463976,0.012605531900426792,-0.06120743806380524,-0.12390534502080541,0.10321709754364705,0.6671698500980614,high,0.3328301499019386,0.5891649727583642,0.7722929808000641,0.5343360325474441,0.4861083551518447,0.40223584994862943,1.1657404673589267,17.0
c_1186,g96,g288,0.6031102431869058,0.8489471299855436,0.3317379983589639,0.026686297192216005,0.03756403672159511,-0.004909166901011175,-0.07455362087271933,0.009324048896929171,0.6666794710427202,high,0.3333205289572798,0.5773206216075943,0.7467639536306616,0.8506590145463534,0.7100561296622327,0.5792132895555853,0.7791638270856787,21.0
c_11996,g96,g288,0.19157083945141862,0.3823541649742199,-0.22504143595187998,0.009122421809536208,0.0182073405597883,-0.04340802607954275,-0.1515220249437147,0.09914066004851607,0.6565293097281848,medium,0.34347069027181526,0.5883760796271679,0.747170684024102,0.6512223150241994,0.5401746799468204,0.4289346605012559,-0.29853024240037573,20.0
c_12060,g96,g288,-0.0050438172960032834,-0.00824489363162939,-6.9846948899879635,-0.0050438172960032834,-0.00824489363162939,0.1600107868503704,0.07086018981511111,-0.03898203403833858,0.5203404052534555,low,0.4796595947465445,0.6668396190457058,0.7351414532781948,0.08204975594453058,0.01204729239353032,-0.031280028983818764,0.021505090942510297,7.0
c_12158,g96,g288,0.7319108049074812,1.0300667785711441,1.9240420641849934,0.017743296894207297,0.024971317469607,-0.01285024770219767,-0.07281094623202222,0.06301975106508695,0.667133023194471,high,0.332866976805529,0.5806563149742717,0.755045227896343,0.844011920209477,0.7171446335947629,0.594653012210085,0.8900662895642331,19.0
c_12164,g96,g288,0.08564122683472108,0.08858809340724605,1.1673080922066177,0.006587783634885498,0.006814466136958505,-0.1706252488284629,-0.1946579339876363,0.08864864948081241,0.661531179589951,medium,0.33846882041004894,0.5230616083964976,0.6526887957120682,0.06234868962744362,0.016285134337273927,-0.015086097621182196,-0.6259755069788207,3.0
c_12174,g96,g288,0.07508340146806503,0.10187206138498817,0.7388577876234237,0.015016686812870994,0.020374415675666502,-0.05398120276338225,-0.2452488294721068,-0.31181552677606095,0.6435146463748457,medium,0.3564853536251543,0.5853667478032595,0.7344955572834098,0.4647936199309751,0.3544410903621328,0.27654540717065557,4.238230034863417,21.0
c_12189,g96,g288,0.06637296411726218,0.061870291810302125,2.024218208468076,0.0048565578124507985,0.004527093820808702,0.0624365258051545,-0.338128846273654,0.25970541801088576,0.5870662855372819,low,0.41293371446271815,0.6500691719916171,0.818118088690037,0.02773929774346233,0.049137763987171255,0.024711853990345617,0.0038672839585489616,2.0
c_12193,g96,g288,-0.029827696581681495,-0.021829987527823225,-1.5584866951191554,-0.008948313755293591,-0.006549002901632295,0.2004541168976866,0.10843620692608069,-0.052722771913154415,0.6404461962250644,medium,0.3595538037749356,0.4996026971709142,0.6364023710529588,-0.029034144963221445,-0.044504683770439715,0.0071222945999775975,-0.03828074519380276,2.0
c_12231,g96,g288,-0.38158582109543815,-0.2892703827869276,-4.043628560370294,-0.01683466813604667,-0.012761929492348889,0.04209122618724148,0.12047161690651187,-0.01747650828732991,0.46399634131071776,low,0.5360036586892822,0.7219811665474589,0.7483336018491304,0.69328325469473,0.2913932442651181,-0.08489733599565137,10.68639572970909,141.0
c_12237,g96,g288,0.2668758365843047,0.18451971744774376,0.34307638233596904,0.004765644953179604,0.0032950011000292267,0.01565585371385636,-0.013321960456528503,-0.0124876524231744,0.5896934275822132,low,0.41030657241778684,0.6259874596341692,0.7794455650632115,0.5023757298250656,0.22073925048738255,0.317418721488181,3.0446533575372765,27.0
c_12441,g96,g288,0.451882102423244,0.3880331415227505,3.1821799458788718,0.0071162528126995014,0.006110757295891403,-0.07219616107223992,-0.14302547560231169,0.030946352109134212,0.6594733552631512,medium,0.3405266447368488,0.5737225900672913,0.7599517538379458,0.5035796605563617,0.41905147264543813,0.3535242810986448,1.0599552455216164,18.0
c_12517,g96,g288,0.3717549112108023,0.4751381443585312,1.6282239651023929,0.020094874427533604,0.025683161489460107,-0.011546566957371884,-0.07668984528663902,0.07120672471827161,0.667489808622507,high,0.33251019137749305,0.5801970560979623,0.7562093121263018,0.7977234251297677,0.6650012548824044,0.5412025657734103,7.332320206667993,20.0
c_12624,g96,g288,-0.0013086497783660889,0.008834907393433622,-0.08577302081400084,-0.00028042519642480085,0.0018931953624434922,0.017843647416019695,-0.0476434351188378,0.0865898240561786,0.6721045469714862,high,0.32789545302851375,0.47816356255466685,0.6597655645195595,0.01336728407516561,0.038466926677033664,-0.03328280051158795,0.07890133179274905,2.0
c_12767,g96,g288,0.023618780904346104,0.021299808312247537,0.334336903916979,0.004723754007783201,0.004259957262629316,-0.1312464258336635,-0.0701513551759351,0.003645845105016976,0.6284337507199236,medium,0.3715662492800765,0.5443177644781731,0.6718784870335336,0.03623947189578453,0.033105642821723145,-0.015765935748788793,-1.2812510519181957,2.0
c_12858,g96,g288,0.007771527187691862,0.04181603537501177,-0.17740676182216042,0.0010362055135407985,0.005575472793862599,-0.2397679308727021,-0.2116806249473328,0.2469733468985715,0.684994958378681,high,0.315005041621319,0.5309929194382875,0.6418998619218996,0.024373929681702884,-0.02857840130122767,-0.04552088665999145,0.20244071201069347,2.0
c_1286,g96,g288,-0.004678340007861492,-0.005377973061257091,-0.13337070418497632,-0.001169580500572906,-0.0013444878546473027,-0.0013117178691657017,0.0190319305037222,-0.05774098990049409,0.5751537810714236,low,0.4248462189285764,0.6295579885292987,0.7057441314724755,0.0027694796495663734,0.03570986462006825,-0.04412784180852198,0.4628445464309072,4.0
c_12971,g96,g288,0.007115565240383037,0.0014932987692870547,0.029375114269370783,0.0007490072472902953,0.00015719076573109114,0.04995606438191161,-0.0021955579178888004,0.010526243576541791,0.6923582566183849,high,0.3076417433816151,0.5530840134581578,0.7115285322255401,0.06690721909912693,0.04334181300453932,0.047692635845088524,0.361434655014909,2.0
c_12974,g96,g288,-0.005401009652349575,-0.0047740502905492255,-0.36722565563155385,-0.0010802052677091056,-0.0009548135747423081,0.0244838668327164,0.0142950469523226,-0.02945104718754689,0.6381271779957061,medium,0.36187282200429394,0.5538534707926356,0.7596649882717392,0.12411628982808352,0.07738515322066862,-0.013460660915357891,-0.8511072058735127,4.0
